original_index,content,clean_final,pred_topic
26,"Selamat ulang tahun hsr, terimakasih udah nemenin tahun-tahun berharga ku,dan terutama terima sudah menghadirkan karakter secantik dan semenawan herta.jadilah game yang lebih baik lagi,ambil kembali tahta game of the year mu di tahun depan.dan teruslah beri kejutan di setiap updatenya,aku akan terus mendukung walau disaat kamu(hsr) berada di kepurukan. Dari salah satu trailblazer mu~",selamat ulang hsr nemenin harga ku hadir karakter cantik tawan herta ambil tahta year mu terus kejut updatenya dukung saat hsr puruk salah trailblazer mu,-1
27,mantap ku kira gamenya jelek ternyata absolute cinema,ku jelek absolute cema,-1
28,gimme lc bro,gimme lc bro,4
29,game dah bagus so does the characters tapi bagi yang punya hp kentang mana kuat buat upgrade..? plis hoyo buat juga dong versi cloud nih game kek yang genshin- 🙏,characters kentang kuat upgrade hoyo versi cloud nih genshin,-1
30,"masa kalah rate off ampe 3 kali, katanya guaranteed dapet b5 limited.",kalah rate kali guaranteed b limited,21
31,"game nya enak di mainin , seru , alur nya juga bagus , good job deh",enak mainin alur job deh,-1
32,banyak bug,bug,-1
33,"ngak nyangka loh hoyo tumben baik, malah sekarang kuro pelit sih",nyangka loh hoyo tumben kuro pelit,2
34,"game bodoh, moc gak ngontak lagi musuh nya, rate gacha sampah, terusin aja kayak gini semoga bangkrut ni game!",bodoh moc ngontak musuh rate gacha sampah terusin gin moga bangkrut,-1
35,"Perkembangan game ga terstruktur dengan baik. Karakter bintang 5 cuma jadi barang jualan untuk memaksimalkan pendapatan tapi ga dipertimbangkan dengan aspek-aspek lain dalam game. Saya rasa hoyoverse tidak kekurangan staff, juga tidak kekurangan kreatifitas ataupun dana. Ini seharusnya bisa dihindari dengan tim pengembangan yang mempertimbangkan Kesinambungan Karakter dengan Lore/cerita, (termasuk elemen dan kemampuan). Tidak apa jika rilis karakter tertunda beberapa patch, tapi hasil maksimal",kembang struktur karakter bintang barang jual maksimal dapat timbang aspek aspek kurang staff kurang kreatifitas dana hindar tim kembang timbang sinambung karakter lore cerita elemen mampu rilis karakter tunda patch hasil maksimal,10
36,fak anying ampas bener udah hampir 90x draw ga dapet dapet karater yang di mau anying fak makin update makin ampas,fak anying ampas bener x draw karater anying fak update ampas,-1
37,"Aku rate off dapat bailu dan Lc nya terus. Aku benci game ini, Aku berusaha keras berjam jam mengumpulkan 76 pull hanya untuk dapat Lc bailu...Aku sedih sekali",rate bailu lc benci usaha keras jam jam kumpul pull lc bailu sedih,-1
38,"Kalo ngasih pity ngotak dikit lah, masa f2p dikasih high pity giliran waller malah dikasih low pity. Udah gitu dikasih rate off lagi",pity pikir dikit f p kasih high pity gilir waller kasih low pity gitu kasih rate,-1
39,aku kalah rate off mulu bang,kalah rate mulu bang,-1
40,"game yang penuh petualangan asik dengan story nya yang kreatif, tpi gw mainin ini game pas gw buka lagi kok download data lagi sih ? Mohon kebijakannya developer, apakah memang game ini masih dalam perbaikan bug ?",penuh tualang asik story kreatif mainin buka download data bijak developer baik bug,-1
41,waivunya bagus bikin Galuh😎👍,waivunya galuh,-1
42,"Sangat bagus, game turn base yang tidak membosankan dan memiliki cerita yang sangat menarik. kurang suka di fitur relik yang rng, kalo gak beruntung bisa butuh beberapa bulan hanya untuk 1 karakter.",turn base bosan milik cerita tarik suka fitur relik rng untung butuh karakter,-1
43,menyala hp ku🔥,nyala ku,-1
44,"benci banget gw sama puzzle nya, lebih di utamakan dari pada gameplay perang nya, makan nih rating satu",benci puzzle utama perang makan nih rating,-1
45,I love this game good job,job,5
46,"nih dengerin hoyo apa susah sih ngadain fitur skip story? kalian kira semua orang suka dengan story nih game? dan kalian kira semua orang punya waktu luang banyak, buat ngerjain story yang membosankan dan dialog yang panjang lebar? kalau pun ada yang mau ngikutin story ya mereka ga usah pake fitur, yang lebih parahnya lagi sekarang event aja harus dialog panjang lebar dulu bikin males main. kalian secara tidak langsung memaksa untuk ngikutin stroy yang membosankan itu. sial gak bisa tulis lebih",nih dengerin hoyo susah ngadain fitur skip story orang suka story nih orang luang ngerjain story bosan dialog lebar ngikutin story pake fitur parah event dialog lebar males langsung paksa ngikutin stroy bosan sial tulis,-1
47,game rpg terbaik saat ini semoga developer sehat selalu panjang umur nya dan sering kasih bansos aminnn,rpg baik moga developer umur bansos aminnn,11
48,farm relic ampas terus,farm relic ampas,-1
49,WOI LOADING NYA NGE STUCK EEK,woi loading nge stuck eek,2
51,game nya bagus story nya juga bagus terus kalo untuk gaca nya lumayan lah tapi mohon jangan ada sistem kalah red of kalo dak bisa dapat bener minimal di kasih B5 yg old jangan di kasih yg setandar,story gaca lumayan sistem kalah red dak bener minimal b old setandar,-1
52,bestttt,bestttt,-1
53,sistem gacha nya tolong di permudah,sistem gacha mudah,-1
54,"buat tombol skip dong;), jempol bisa bisa kena syndrom:)",tombol skip jempol kena syndrom,3
55,mantapzz game baik hehe,mantapzz hehe,4
56,"yang masih nyinyir powercreep"" mending lu GK usah main ni gem, sono balik main gem bayi lu, Dev udah ngasih bansos bejibun masih ngeluh sana sini, kalo mau NGELUH JANGAN DI SINI SONO BALIK KE GRUB BIRU SAMPAH MU, bocil-bocil😮‍💨",nyinyir powercreep mending sono bayi dev bansos bejibun ngeluh ngeluh sono grub biru sampah mu bocil bocil,-1
57,ngotak dikit lah yatim,pikir dikit yatim,-1
58,Akun kena risk pedahal kaga pake cit Gajelas lu hoyotod Pindah game ajalah jir,akun kena risk pedahal pake cit gajelas hoyotod pindah aja jir,-1
59,Gabe nya bagus,gabe,23
60,bagus banget wok,wok,4
61,Powercreep Game,powercreep,6
62,terlalu banyak percakapan storynya tidak to the point no fitur skip juga,cakap storynya point fitur skip,-1
63,"Bad Anniversary 2nd , Trash Gacha Rate , Percuma banyak Bansos kalo 270+pull cuman dapet Char doang😂",bad anniversary nd trash gacha rate bansos pull cuman char doang,-1
64,"Gacha gua ampas terus dah, udah lah kalah di hard pity(welt e4, bailu e3, sepele e2) , eh mau dapat kan nya pun harus hard pity juga, asem lah. Sumpah kalau akun gua lama-lama model kek gini terus, mendingan pensi gua dah.",gacha ampas kalah hard pity welt e bailu e sepele e eh hard pity asem sumpah akun model gin mending pensi,-1
65,"peak animation, cutscene keren, character di cutscene cantik banget, pokoknya keren banget firstime main game ini gua kira bakal ngantuk, ternyata malah ketagihan. storynya keren banget🔥🔥",peak animation cutscene character cutscene cantik pokok firstime ngantuk tagih storynya,-1
67,game nya bagus cuman kurang fitur bikin anak😭😭,cuman fitur anak,-1
69,Tolong jangan kalah 50/50 teruss plisss!!!,kalah teruss,-1
70,plis hoyo tambahanin fitur bikin kencan/nikah ama bikin anak,hoyo tambahanin fitur kencan nikah ama anak,-1
71,saya suka dengan game nya namun memang gak bisa bagus game nya karena sistem HP inflation nya yang gila kali cuk jadi nya terkesan maksa untuk ikut meta seiring update jadi nya malas 🧢,suka sistem inflation gila kali cuk kes maksa meta iring update malas,-1
72,Best Gacha Game!!,gacha,29
73,update nya sangat lama ya,update,33
75,"Powercreap gila, banyakin lagi animasi interaksi kayak zzz, tambahin capturing kayak genshin",powercreap gila banyak animasi interaksi zzz tambah capturing genshin,-1
77,Masalah game ini menurut ku cuma 1 powercreep,ku powercreep,6
78,"Buat yang main game demi cerita, Honkai: Star Rail tuh juara. Alurnya dibangun rapi, karakter-karakternya punya konflik dan kedalaman yang bikin relate. Tiap bab terasa bermakna, nggak cuma jadi latar buat battle. Kadang bikin mikir, kadang bikin diam. Ini bukan sekadar game, tapi pengalaman cerita yang ngena.",cerita honkai star rail tuh juara alur bangun rapi karakter karakter konflik dalam relate bab makna latar battle kadang mikir kadang diam alam cerita ngena,-1
79,"gamenya bagus, story dan grafiknya keren. optimalisasinya juga lumayan. sayangnya game ini susah nyari relic yang bagus. alhasil, beberapa char ada yang kurang ter-build dengan baik. dan gacha ampas banget njirrr",story grafik optimalisasi lumayan sayang susah cari relic alhasil char ter build gacha ampas njirrr,-1
80,"menurut saya gamenya bagus, gak pelit, ramah pemula, dan gak bosenin. saran buat developer tolong masukin Nikador ke Echo war biar seru, terus sama buff boss Sunday soalnya lemah bangat tuh bos padahal desainnya udah keren. minimal bos Sundaynya kuatin, tingkatin Toughnessnya biar gak gampang kena weakness break, tambahin variasi serangannya sama spd-nya biar pas hari ke 7 (resonansi sama order) saat kena weakness break, gak harus nunggu lama lama buat bossnya bangkit lagi. lebih menantang",pelit ramah mula bosan saran developer masukin nikador echo war biar buff boss sunday lemah bangat tuh bos desain minimal bos sundaynya kuatin tingkatin toughnessnya biar mudah kena weakness break tambah variasi serang spd biar resonansi order kena weakness break tunggu bossnya bangkit tantang,13
81,"seru, tambah kan fitur hapus cerita tambahan",fitur hapus cerita tambah,3
82,"game nya sangat bagus dan dari segi desain karakter nya juga keren saya sangat suka dengan desain karakter karakter di game ini lalu untuk event nya juga menarik dan terakhir untuk story nya sangat absolute cinema,mantap 👍",segi desain karakter suka desain karakter karakter event tarik story absolute cema,-1
83,game tolol udah cape push pity 80 menang rate off malah dapat char sampah,tolol cape push pity menang rate char sampah,-1
84,makasih untuk bansosnya tapi pity 80 sebanyak 2x itu ngak lucu,bansosnya pity x lucu,-1
85,Terimakasih sudah memberikan ku pengalaman terbaik dalam Gacha karakter.,ku alam baik gacha karakter,-1
87,"HP inflation, BLACK SCREEN, The FAVORITISM between two anniversary character 💀 even in his trailer Anaxa can not standing alone, A MILLION DOLLAR COMPANY with greedy behavior",inflation black screen favoritism two anniversary character even trailer anaxa standing alone million dollar company greedy behavior,0
88,"please developer nyari Relic gampangin lagi lah, gila farming relic susahnya minta ampun, selalu stat yang keluar jelek bener",developer cari relic mudah gila farming relic susah ampun stat jelek bener,-1
89,"Game ini terlalu kikir, bahkan tidak mau merilis karakter bintang 4 lagi.",kikir rilis karakter bintang,-1
90,"game bagus cuma cerita nya udh kayak nonton iklan panjang banget mana gak bisa di skip lg, tolong di buat skip dialog nya karena gak semua player senang dengan ceritanya, jangan seakan di paksa untuk melihat ceritanya yang membuat sebagian player berhenti untuk melanjutkan permainan ny.",cerita nonton iklan skip skip dialog player senang cerita akan paksa cerita player henti lanjut main,-1
91,Kasih aku fugue please🙂,fugue,23
92,"Kurang balance game nya dong sehabis banner Castorice, Anaxa wanters jgn mau kalah!",balance habis banner castorice anaxa wanters kalah,-1
96,march 7th main yukk🥺,march th yukk,-1
97,"gamenya bagus sih ceritanya seru,pas duel nya juga seru, tapi yang gak aku itu pas lagi asyik main malah ngebug jadi aku harus download ulang lagi 🙃🙃, untuk pembuat game ini tolong di perbaiki ya ngebug nya biar lebih enak mainnya,itu aja sih dariku",cerita duel asyik bug download ulang buat baik bug biar enak main dari,-1
98,ga ada apa apa kena tmr dev aneh,kena tmr dev aneh,-1
99,"DEVELOPER SLOW RESPON, GK BISA NGATASIN MASALAH, TIBA TIBA GK BISA MAIN ""Terlalu banyak permintaan"" GANTI AKUN AJA KAGA!!! MINTA SOLUSI KE CS, TAPI SLOW RESPON, KEBURU MALAS MAIN",developer slow respon ngatasin minta ganti akun solusi cs slow respon keburu malas,-1
100,GAME PALING SCAMMMM....JAMGAN DIMAINNIN !!!!!,scammmm jamgan dimainnin,-1
101,penyakit powercreep gila,sakit powercreep gila,6
102,perfect,perfect,-1
103,selalu dapet char standar kalo gue pull di benner char yang gue inginkn,char standar pull benner char inginkn,-1
105,"1. ga beda jauh dari Genshin cara dapetin item gacha nya. wajar kakak adek sama-sama kikir. 2. ditambah sama-sama kecil chance buat dapetin karakter b5 nya meski ada sistem pity 3. salah satu cara dapetin Stellar Jade nya juga buka chest di jalanan gitu, ini males banget kayak Genshin, setidaknya Genshin lebih mending karena masih funable buat dieksplor. lah ini HSR cuma dalem stasiun doang apanya yang mau dinikmatin. 4. Desain bagusnya cuma di karakter cewek. (ini bukannya aku gay ya)",beda genshin dapetin item gacha wajar kakak adek kikir tambah chance dapetin karakter b sistem pity salah dapetin stellar jade buka chest jalan gitu males genshin genshin mending funable dieksplor hsr dalem stasiun doang dinikmatin desain bagus karakter cewek gay,-1
106,"Salah satu game terbaik yang pernah saya mainkan. Mulai dari grafis dan desain karakter yang cukup memukau, story yang seru, menegangkan dan mudah dipahami, serta gameplaynya yang santai membuat saya nyaman menikmati game ini sampai sekarang.",salah baik main grafis desain karakter pukau story tegang mudah paham gameplaynya santai nyaman nikmat,-1
107,"ini kenapa sistem gacha nya hard pity, dah kalah",sistem gacha hard pity kalah,-1
108,"Sistem Gacha yang menguras isi dompet, tolong turunkan maksimum pity gacha karakter dari 90 pull menjadi 80 pull. Sering Crash saat dalam pertempuran 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡",sistem gacha uras isi dompet turun maksimum pity gacha karakter pull pull crash tempur,-1
109,"grafik dan alur cerita bagus,tapi sistem gacha nya yang parah",grafik alur cerita sistem gacha parah,12
110,kasih fitur skipnya please (⁠｡⁠•́⁠︿⁠•̀⁠｡⁠),fitur skip,3
111,"BAGUSSSS, I LOVE THIS GAME DAMN MUCH -! chara, gameplay, story nya SOOOO GOODDDDD ‼️gaaa salaa berharap ama ni gamee, SEMANGAT TRUS HOYOOO -!! 🩷",bagussss damn much chara story soooo gooddddd gaaa salaa harap ama gamee hoyooo,-1
113,kenapa gw hard pity bagst,hard pity bagst,-1
114,dissapointed for the 50/50 and always got 80 pull for 5star character,dissapointed always got pull star character,0
115,kenapa gk bisa masuk download data hampir selesai malah eror,masuk download data selesai eror,31
116,kurogames tolonglah perbaiki hadiah aniversarynya masa sekelas aniversary dapat segitu doang katanya kemarin ada b5 gratis pembodohan,kurogames tolong baik hadiah aniversarynya kelas aniversary segitu doang kemarin b gratis bodoh,-1
117,absolute cinema,absolute cema,-1
118,Game Terbaik.,baik,-1
119,"powercreep brutal, seenggaknya ada buff char lama/old, buatin fitur bikin anak",powercreep brutal enggak buff char old buat fitur anak,-1
121,Hard pity!! lose 50:50,hard pity lose,-1
122,tolong yapping nya dikurangi,yapping rang,-1
123,"overall oke sih, cuman storynya banyakan yapping",overall cuman storynya banyak yapping,-1
124,Good Games,games,-1
125,Kurang2i yappingnya overall udah bagus sih dari semuanya 🤗,yappingnya overall,-1
127,game kikir,kikir,26
128,"hp inflation brutal, powercreep di character baru terlalu brutal, sekarang main ini device saya sampe ngeframe kalo bisa dikasih opsi buat ngilangin teks damagenya soalnya ngeliat begitu banyaknya angka yang muncul bikin device ngeframe sama bikin sakit di mata cuy apalagi kalo main DU atau SU, character DOT baru pliss.",inflation brutal powercreep character brutal device sampe ngeframe kasih opsi ngilangin teks damagenya ngeliat banyak angka muncul device ngeframe sakit mata cuy du su character dot,13
129,game inii sangatt baguss,ini sangatt baguss,16
130,game apa ini cok. gameplay kaya game jaman dulu kalo gameplay gitu cepet ngebosenin,cok kaya jaman gitu cepet ngebosenin,-1
131,"knp sy gak bisa login lewat fb ya? pdahl lewat ggl lancar"" saja tolong dibantu dong mengenai mslh ini :v",login fb pdahl ggl lancar bantu mslh v,-1
132,kebencianku takkan kalian pahami,benci paham,-1
133,kasih chat global dev biar rame makasih sukses terus hoyoverse,chat global dev biar ramai sukses,-1
135,"secara keseluruhan bagus. enak bisa main sambil santai dan ga terlalu serius, dan bansos banyak lek",enak santai serius bansos lek,8
136,"gamenya bagus, ya walapun ada inflation Hp tapi bansosnya rek bukan MAIN. lagi pula yang ngeluh inflation Hp kebanyakan skill issues (walaupun gw jg😅) semenjak rilisnya char baru CASTORICE jdi ga skill issues lgi rek. TERIMAKASIH GAME BAIK😁",walapun inflation bansosnya rek ngeluh inflation banyak skill issues semenjak rilis char castorice skill issues rek,13
137,sistem ga jelas gw kalah rate off pdahal gapernah gacha ga cocok buat aniversary ke 2 ini surprisenya kirain bakal membahagiakan gajelas!,sistem kalah rate pdahal gapernah gacha cocok aniversary surprisenya kirain bahagia gajelas,-1
138,"sejauh ini gak ada kendala di 3.2 yang menjadi masalah cuman moc doang yang makin susah, semoga efek buff nya bisa lebih bagus lagi",kendala cuman moc doang susah moga efek buff,-1
139,"minus 1 buat cerita main quest di amphoreus terlalu banyak informasi gk penting untuk cerita. ada yg meninggal aja gw GK simpati sama karakter yang mati, karena terlalu lama....",minus cerita quest amphoreus informasi cerita tinggal simpati karakter mati,-1
140,Optimasi relic scam,optimasi relic scam,-1
142,cerita game ny bertele2 bgt..nge tap2 smpai bkin ngntuk..,cerita tele nge tap smpai bkin ngntuk,-1
144,game baikkkkk,baikkkkk,-1
145,"mantap gamenya, panjang umur game baik.",umur,-1
146,"Game baik. Bagus, cuman char cowoknya diperbanyak",cuman char cowok banyak,-1
147,"gua bingung nih,pas masuk di suruh download 23 GB,itu harus ter download semua?soalnya gak bisa masuk kalo gak di download, kalau harus download semua mendingan gua uninstall aja.",bingung nih masuk suruh download gb ter download masuk download download mending uninstall,32
148,ko gua di kasih castorice sih padahal maunya fu xuan 😠,castorice mau fu xuan,-1
149,"Game yang menyenangkan, bisa bermain bersama dengan teman dan banyak event-event yang menarik dan seru!",senang main teman event event tarik,-1
151,"kok bisa ya orang orang dapet gacha bagus, wangi, tapi ga merata. baik gacha relic, gacha character ama light cone. sekalinya bau sampe tujuh turunan. ayolah, kecewa banget gua. hoyoverse game yang udah gue mainin dari gungirlz, hi3, dll. tapi dari semua game gada yang bener ke gue ampas semua. belom lagi sistem power creep yang makin neken f2p player antara top up atau pensi Plis lah dengerin, semua game hoyo lain gapapa jelek rate gacha nya asal jangan hsr. bingung jg gua maininnya ini....",orang orang gacha wangi rata gacha relic gacha character ama light cone sekali bau sampe tujuh turun ayo kecewa mainin gungirlz hi dll gada bener ampas bom sistem power creep neken f p player top pensi dengerin hoyo gapapa jelek rate gacha hsr bingung maininnya,13
152,tidur dulu klo bangun nanti tak kasih b5,tidur bangun b,-1
153,overall gamenya bagus masih bisa maen di ram 4 walau full rata kiri sih tapi ini dah bagus cocok lah dimainkan dimana aja,overall maen ram full kiri cocok main mana,-1
154,Kasi tombol skip woi,tombol skip woi,3
155,tolong tambahkan fitur tombol skip dalam game .,tambah fitur tombol skip,3
156,"10/10 story bagus dibanding game rpg lain walau sistem nya turn base tapi tetep seru, ga kikir kaya sebelah",story banding rpg sistem turn base tetep kikir kaya belah,-1
157,bug yang sangat parah. HP boss tidak berkurang pada saat fase ke 2,bug parah boss kurang fase,-1
158,"No comment, game gila powercreep",comment gila powercreep,6
160,banyakin bansosnya hoyo😁,banyak bansosnya hoyo,8
161,"Farming relic dapet jelek mulu,gak ada tombol skip bangke",farming relic jelek mulu tombol skip bangke,2
162,"Gamenya bagus, dari segi karakter maupun gameplay, tapi untuk pengisian trailblazer power dipercepat lagi!!",segi karakter isi trailblazer power cepat,-1
163,"If I don't get Acheron, I'll give you 1 star🗿🗿🗿",get acheron give star,0
164,"apa gw yang sial apa emang sistem hoyo gini udah 2 patch gw rate off, hard pity lagi",sial sistem hoyo gin patch rate hard pity,-1
165,kikir ga kek developer guardian tales,kikir developer guardian tales,-1
166,"untuk game yang dermawan tentu saja di imbangi endgame konten yang semakin sulit untuk tetap mendapatkan pemasukan untuk game ini, mudah untuk mengerjakan story, apalagi karakter baru yang semakin overpower, tetapi musuh konten end game juga semakin overpower. dan juga global pasif mulai diterapkan untuk melepas batas kemampuan yang hanya 4 karakter dalam 1 tim.",dermawan imbang endgame konten sulit pasu mudah story karakter overpower musuh konten end overpower global pasif terap lepas batas mampu karakter tim,10
167,walaupun aku gak bisa main karena Android tapi saat lihat orang main entah kenapa aku sangat suka nih game dan saya harap hoyoverse membuat game ini bisa di mainkan oleh Android saya mohon 🙏🙏🙏🙏🙏,android lihat orang suka nih harap main android,-1
168,"kecewa kiana kaslana gak ada, masa cuma Kevin,welt, himeko,bronya,Raiden mei,silver wolf, dll. ada sedangkan kiana kaslana gak ada lah kocakkkk. seri honkai gak ada kiana kaslana.",kecewa kiana kaslana kevin welt himeko bronya raiden mei silver wolf dll kiana kaslana kocakkkk seri honkai kiana kaslana,7
169,banyakin event up material biar bisa build semua char lebih cepet,banyak event material biar build char cepet,-1
170,tidak ada tombol skip + lompat sangat tidak recommend,tombol skip lompat recommend,3
171,Norak lu semua yg rating b1(kecuali yg EMG rating dari lama),norak rating b kecuali rating,-1
172,Give me Castorice okay!,give castorice okay,9
173,"Best game ever, really enjoy the storyline and all kind of things that the games served. About the storywriting the character development, all of the lore, theory and moral message in the game, are prepared so much well. The gameplay not that boring even this is a turn based game genre, especially the little add in the game change some my experience on turn based game. The desain of character looks good and getting better each version. Also the ANIMATION very very fascinating. Love this game ❤.",ever really enjoy storyline kind things games served storywriting character development lore theory moral message prepared much well boring even turn based genre especially little add change experience turn based desain character looks getting better version also animation fascinating,0
174,POWER CREEP TERUS,power creep,35
175,"dari segi grafik, story, baguss bgtt. apalagi charanya unik' smua, mana bnyak di gratisin 😃, ini game dermawan sungguh dermawan... thx kepada hoyo (buat digame ini) yg sungguh baik n dermawan, i luv hsr 4ever.... (sbg f2p player...) . . . . sayangnya ini hp kurang penyimpanannya huhh.... bissmillah tahun ini kebeli hp mumpuni dri segi apapun itu 💕",segi grafik story baguss charanya unik bnyak gratisin dermawan sungguh dermawan hoyo digame sungguh n dermawan luv hsr ever f p player sayang simpan huhh bissmillah kebel mumpuni dri segi apa,-1
176,bagus aja banyak hal yang bisa di eksplor dan gacha gak terlalu ampas kek kikir impact,eksplor gacha ampas kikir impact,29
177,BAGUSS BANGET,baguss,16
178,200 gacha... Still 0..... 5 star.. PTW FOR TW!,gacha still star ptw tw,22
179,"Terlalu try hard end game nya, pergerakan meta terlalu cepat, jd nya char yg saya dapatkan terasa kurang bermakna story amphoreus cukup bagus, namun saya merasa tidak terlalu relevan dengan story2 sebelumnya, jadinya saya tidak mendapatkan ekspektasi apapun untuk kedepannya relic lvl ratenya entah knp kacau, sangat susah dapat roll yg bagus, jadi susah build char desainnya juga kurang suka, seperti cara char berlari dan desain npc nya i feel empty playing this game, like losing my spark",try hard end gera meta cepat char dapat makna story amphoreus relevan story ekspektasi apa depan relic lvl ratenya kacau susah roll susah build char desain suka char lari desain npc feel empty playing losing spark,10
180,b5 terus bayar bayar habiskan uang kapan b 4 nya keluar?,b bayar bayar habis uang b,-1
181,"MAKASIH HOYO, AKH DAPET CASTO + SIGN",hoyo akh casto sign,22
182,"Story bagus, tapi animasi dialog biasa jelek kalau dibanding wuwa yang setara sama Cut scene",story animasi dialog jelek banding wuwa tara cut scene,12
183,tolong kalau buat kit karakter baru jangan nge power-crept karakter lama dong :(,kit karakter nge power crept karakter,-1
184,tanya cs di game ini ga guna ga ngasih solusi,cs solusi,-1
185,"game nya bagus dari story, gameplay, sama character udh bagus bgt terus juga karena ada auto jadi lebih gampang untuk yang masih baru-baru main",story character auto mudah,-1
186,"bagus dapet *5 gratis ga ke game sebelah yang katanya""Dev listened 😂"" cuman tolong bisa skip dialog. soalnya mau main lagi cuma males yapping nya lama.",gratis belah dev listened cuman skip dialog males yapping,-1
187,"sekarang udah best lah, bug ga bisa loginnya juga udah berkurang. cuma masalah ngelagnya aja sih, padahal wifi bagus & kenceng, tapi di in game pasti jadi 999. yg paling malesin tuh pas ngequest tadinya lancar² aja tiba-tiba jadi loading ga jelas dan harus ngulang dari situ mulu, itu pun biasanya ngulang sampe 2x lebih. harapannya besok bisa lebih di optimalin sih",bug loginnya kurang ngelagnya wifi kenceng malesin tuh ngequest lancar loading ngulang situ mulu ngulang sampe x harap besok optimalin,-1
188,sudah bisa min semenjak update 3.2 sudah tidak ada black screen lagi,semenjak update black screen,-1
