content,clean_final,pred_topic
"Game kuomttoolllll ga rate off ga rate on dikasih B5 dipity 80+ Mulu kuotnnnntolllllll, kasih kek dipity rendahh anjinkkk hoyoversee luotktmtolllll",kuomttoolllll rate rate kasih b dipity mulu kuotnnnntolllllll dipity rendahh anjinkkk hoyoversee luotktmtolllll,21
"jujur aja makin sini makin kayak kakaknya(HI3) mungkin karena sama sama honkai, tapi tolonglah sekali kali keluarin char b4 jangan b5 mulu, setidaknya b4nya itu versi kurangnya b5 karena lama lama bosen juga disuguhin nya b5 mulu, b4nya jarang banget dan buat buff MoC jangan dibikin terlalu spesifik ke char yang sedang rate up, masih mending AS sama PF ada pilihan buffnya,ini MoC gk ada pilihan dan pasti spesifik ke char yang sedang rate up bannernya, event diperbanyak juga, terlalu sedikit",jujur kakak hi honkai tolong kali keluarin char b b mulu b versi kurang b bosan disuguhin b mulu b jarang buff moc bikin spesifik char rate mending pf pilih buffnya moc pilih spesifik char rate bannernya event banyak,1
Smoga bugnya cepat diperbaiki,moga bugnya cepat baik,25
"Pliss support 2 akun pang, mksdnya 1 akun game itu tertaut akun google sama FB, di HP buat milih fb gk ad",support akun pang mksdnya akun taut akun google fb hp milih fb ad,0
Game baik aku sangat suka,suka,13
Mantap tidak kikir,kikir,-1
*BARK *BARK *BARK I LOVE STAR RAIL MAN OHH BABY THEY ALL VERY HOT KYAAAA I KEEP WAITING FOR MY SUNDAY,bark bark bark star rail man ohh baby hot kyaaaa keep waiting sunday,3
Optimalisasi nya jelek'.. ga G ga Hsr sama ja gacha,optimalisasi jelek hsr ja gacha,12
"Untuk saat ini game ini sangat bagus , saya menyukai cara battle combat nya",suka battle combat,13
"bagus, bagus, saya suka pity",suka pity,13
Mantapp,mantapp,2
Gacha ampas Mulu 👹,gacha ampas mulu,12
Asek ini gw kira sistem fight nya kek genshin tapi ini lebih bagus menurut gw tapi bagi klean kalo ngeleg HP klean kentang turn-based,asek sistem fight genshin klean ngeleg hp klean kentang turn based,24
Sangat rekomended karna waifunya,rekomended karna waifunya,-1
Keren👍 mantap mihoyo.. MC Nya keren apalagi yg cewenya kece dan yang Cowo nya ganteng🤝🗿 Tingkat kan lagi...Buat mengatasi Bug dll...Tapi game sudh bagus Makasih Devloper!👋😉,mihoyo mc cewenya kece cowo ganteng tingkat atas bug dll sudh devloper,21
Bisakah ditambahkan fitur chat dalam game? Chat dengan teman.🙏,fitur chat chat teman,-1
si fomo knp jir,fomo jir,14
Bagus banget tp ya kalo update keluar lagi disuruh dan pas masuk lagi loading nya nunggu 1 Minggu kagak kelar pasti seharian loh nungguin nya,tp update suruh masuk loading tunggu minggu kelar hari loh nungguin,-1
Udah update praunduh kok disuruh update ulang lagi,update praunduh suruh update ulang,0
game bagus update,update,7
"Ga bisa skip cerita,.. Padahal game solo player yg khusus cerita saja ada skipnya.. Ini malah maksa dengerin dan baca teks story yang panjang,..",skip cerita solo player khusus cerita skip maksa dengerin baca teks story,1
"Just send input, I'm a bored player playing alone, please update in the future, it can be fun",send input bored player playing alone update future fun,4
"hello, saya mengalami kendala saat memainkan game ini, yaitu sizenya yang terlalu besar, bisakah anda membuat game yg bisa diatur size nya seperti mobile legend? gacha",hello alami kendala main sizenya atur size mobile legend gacha,5
"game sampah,gacha aja sampah, sistem inflasi hp tolol abis, mending turuu",sampah gacha sampah sistem inflasi hp tolol abis mending turuu,-1
"Coba dulu, belum memainkannya",coba main,-1
"gameplay, story, grafik oke banget bagussss😍",story grafik bagussss,2
"Saya sangat menyukai game ini tetapi ada masalah yang membuat saya tidak bisa menikmati game ini. Yaitu bug map transparan bukan hanya di map saja tapi saat gacha juga bahkan saat ingin menjalankan quest bug itu tetap ada sudah dicoba hapus dan download game ini tetapi tidak berhasil, saya tapi tidak tahu apakah bug ini ada orang lain yang mengalaminya atau hanya saya saja. Padahal saya ingin melanjutkan bermain game ini dan menikmati story dari hsr. Aku harap ada optimasi tambahan",suka nikmat bug map transparan map gacha jalan quest bug coba hapus download hasil bug orang alam lanjut main nikmat story hsr harap optimasi tambah,1
Aku suka game nya gacha,suka gacha,13
"GM mohon di update setiap hari untuk puzzlenya yang berada di map Xianzhou Loufu dan Jarilo VI, saya membutuhkan puzzle tersebut untuk mendapatkan Stellar Jade dan player biar tidak bosan juga untuk bermain saja kalau hanya menyelesaikan daily quest setiap harinya tanpa ada quest atau puzzle yang terbaru. Itu saja saran yang ingin saya sampaikan untuk update patch yang akan datang Terimakasih",gm update puzzlenya map xianzhou loufu jarilo vi butuh puzzle stellar jade player biar bosan main selesai daily quest hari quest puzzle baru saran update patch,1
alay yg kasih rating bintang 1,alay rating bintang,-1
ikutan donh,ikut donh,2
Sistem gacha tidak ramah f2p.. 5 akun yg saya mainkan perlu pity di atas 75 tidak ada pity 50/50,sistem gacha ramah f p akun main pity pity,-1
Dari segi game udah bagus semua dari story hingga gameplay minusnya cuman di cutscane game aja bisa sih diakalin pake opsi pengembang buat paksa GPU cuman ribet aja pity,segi story minus cuman cutscane diakalin pake opsi kembang paksa gpu cuman ribet pity,-1
Rawr,rawr,14
game nya makin lama menjual charkter Powercrip ndk ngotak banner,jual charkter powercrip ndk pikir banner,-1
"Aihhh udah hard pity malah dapat gepard.... tolong lah pihak HsR hargai perjuangan player F2P udah capek-capek ngumpulin stellar jade hingga berjam-jam..pity udah tercapai Giliran gacha char yg didapat tidak sesuai dengan banner yg tersedia.. tidak sesuai dengan bayaran yg didapat, seharusnya sedikit memperhatikan player yg bermain gratis.. memang hadiah yg di beri banyak tapi itu ga menjamin bahwa bisa mendapatkan char sesuai banner😔 banner",aihhh hard pity gepard hsr harga juang player f p lelah lelah kumpul stellar jade jam jam pity capai gilir gacha char sesuai banner sedia sesuai bayar perhati player main gratis hadiah jamin char sesuai banner banner,1
"ok but- every gacha, I don't get 5 stars anw broo aku lupa ujian equilibrium dan loncat ke xianzhou lalu penacony, setelah aku melakukan ujian tersebut, level exp ku menghilang dan kembali menjadi level 30 padahal seharusnya sudah level 40.",every gacha get stars anw broo lupa uji equilibrium loncat xianzhou penacony uji level exp ku hilang level level,-1
GK ada fitur telanjang in waifu,fitur telanjang waifu,-1
Bagus tapi jangan ngelag,ngelag,6
GAME YG SANGAT MEMANJAKAN MATA !!!!! RECOMENDED BGT !!!!! update,manja mata recomended update,13
Saya akan donwload game ini nanti jika sudah ada komputer di kamar saya biar saya bisa bermain setiap hari dari karakter seperti archan arlceehino cumbina saja saya sudah mengagumi game ini cmn saya memakai HP android maka dari itu sya harus membeli komputer,donwload komputer kamar biar main karakter archan arlceehino cumbina kagum pakai hp android beli komputer,-1
"Awal maen biasa"" aja walaupun GPU gak bisa render enviroment, tapi kenapa kalau sinyalnya jelek langsung frame drop. Tolong dioptimalkan lagi hoyoverse turn-based",maen gpu render enviroment sinyal jelek langsung frame drop optimal turn based,5
"grafiknya udah bagus, game play dan story pun oke dan seru buat dimainin. overall udah bagus, semoga next update jadi lebih bagus lagi",grafik story dimainin overall moga next update,-1
Sangat mantap apalagi MOMMY KAFKA🥰🥰😋,mommy kafka,14
suka sama char baru bagus detail nya lag,suka char detail lag,13
"Mantap,gas terus",gas,8
Trash planar systems,trash planar systems,19
i'll always love this game no matter what.,always matter,14
"login aja ngga bisa, game macam apa ini?",login,-1
"game nya seruh, dan menantang jadi tidak bikin cepeet bosan karena musuh-musuh yang sangat menantang",tantang cepeet bosan musuh musuh tantang,-1
sy sdh sbr dgn kkkrnm dr awl rls gm ni. tlnglh stp sy incr stu krktr psti sllu klh rate d pty tnggi. rngny dbnrn y bbi,sdh sbr kkkrnm dr awl rls gm tlnglh stp incr stu krktr psti sllu klh rate pty tnggi rngny dbnrn bbi,-1
"Kenapa g bisa log in, udh lama g bisa log in, dengan tulisan log in error 616",log log tulis log error,17
"game kurang bagus, char banyak power creep, kebanyakan yapping, fitur skip ngk ada, cepat ngantuk, tutup aja iji game 🗿",char power creep banyak yapping fitur skip cepat ngantuk tutup iji,-1
Tombol Skip !,tombol skip,-1
setelah update ke versi 1.1 gerbong belakang terlihat transparan dan juga tanah transparan,update versi gerbong transparan tanah transparan,-1
Dari aspek dalam gamenya gue ngak mau komen terlalu banyak...tapi tolong di maximalkan pada saat masuk ke dalam game...terkadang di beberapa provider butuh waktu lebih hanya untuk masuk in game aja karna koneksi ngak stabil...setidaknya di setting lah biar ngak kelamaan menunggu di loading screen...,aspek komen maximalkan masuk terkadang provider butuh masuk karna koneksi stabil setting biar tunggu loading screen,0
Bagus pity,pity,23
"Sering terputus dari server, mana kalo lagi boss fight gabisa lanjut malah ngulang dari awal lg gacha",putus server boss fight gabisa ngulang gacha,-1
"Tolong perbaiki storytelling amphoreus, jangan kebanyakan blackscreen, perbaiki kamera angle saat story, minimal ekspresi karakter lagi ngomong tu ada, ini malah flat amat. Juga jangan inflasi HP besar-besaran di konten endgame, terutama MoC di versi 3.1, itu lumayan terasa tebal sekali HP musuhnya.",baik storytelling amphoreus banyak blackscreen baik kamera angle story minimal ekspresi karakter ngomong tu flat inflasi hp besar konten endgame moc versi lumayan tebal hp musuh,1
keren gamenya apa lagi ad Waifu baru 🥰🥰😍,ad waifu,14
"Mantap, bisa dibilang grafik seperti genshin tetapi systemnya mirip honkai impact 3rd",bilang grafik genshin systemnya honkai impact rd,-1
"Untuk pembuat nih game, sebenarnya udah bagus sekali akan tetapi untuk keterbukaan dengan pemain lain itu kurang menyenangkan dikarenakan kita cuma bisa nge folow dan meminjam support team. Saran saya tolong buatkan fitur serikat bagi pemain seperti kami untuk berkomunikasi dan buat kan juga fitur battle bersama pemain lain seperti satu team dan itu cara penyerangannya mengikuti spd dan setiap pemain cuma bisa menggunakan satu char dan skill aja dalam 1 party 4 pemain, semoga direspon sekian. lag",buat nih buka main senang nge folow pinjam support team saran buat fitur serikat main komunikasi fitur battle main team serang ikut spd main char skill party main moga direspon sekian lag,1
Game baik gacha,gacha,11
Saya main Karena mas Garit pity,mas garit pity,23
"Buset ukuran nya gede banget sekarang, tolong dong diperingan",buset ukur gede pering,16
"game bagus , tapi tolong di stabilisasi jaringan agar stabil",stabilisasi jaring stabil,27
Banyak bug ny 😂😂,bug,8
firefly punyaku,firefly punya,10
kurangi power creep gila,kurang power creep gila,20
Mulai Saat Dan Detik Setelah Saya Mengenal Genshin Impact. Saya Memutuskan Bahwa Hp saya Khusus Untuk Instal Game Hoyoverse Krna Sangat Puas. Honkai Star Rail Lets Goo!!!!,detik kenal genshin impact putus hp khusus instal krna puas honkai star rail lets goo,26
Developer baik,developer,8
Game nya asik banget story nya seru sedih tingyun isdet lag,asik story sedih tingyun isdet lag,-1
Game nya bagus banget bikin betah main,betah,6
Thx for free *5 🥰,free,-1
Not Bad,bad,10
"Gamenya udah bagus banget dan jokes nya juga bagus,tapi tolong perbaiki untung chance buat relic dan char di pertinggi",jokes baik untung chance relic char tinggi,9
"Karena saya pemain genshin, tak terbiasa dengan fighting nya, jadi ga demen,",main genshin biasa fighting demen,-1
"gameplay sederhana bagus nyaman ,game baik banyak ivent bagus,gacha mudah story bagus terutama Penacony turn-based",sederhana nyaman ivent gacha mudah story penacony turn based,-1
aku suka game nya cuma sayang aja aku ngg bisa terlalu lama karna hpku ngg kuat lagi aku bermain hsr cuma 2 bulan tapi tetep seru aku bisa merasakan senangnya,suka sayang ngg karna hpku ngg kuat main hsr tetep rasa senang,-1
"baik huohuo dan samponya udah pulang nih papi, sekarang tolong kasih keberkahan e6nya om Gallagher pls pls pls butuh banget buat tugas sekolahhh😭😭🙏",huohuo sampo pulang nih papi berkah e om gallagher butuh tugas sekolahhh,-1
"Game bagus, tetap pertahankan. Jangan tergoyah sama komentaran yang tidak berhubungan dengan game Honkai. pity",tahan goyah komentar hubung honkai pity,3
sehat sehat game baik turn-based,turn based,18
Seriusan ni 12 gb lebih data dalamny? Gelo game paling besar yg gw download ni pity,serius gb data dalamny gelo download pity,-1
Game baik ramah serta perhatian terhadap player,ramah perhati player,-1
The best sih nih turn base game anime nya,nih turn base anime,-1
Penyakit powercreep gila menggila!!,sakit powercreep gila gila,20
kecewa berat,kecewa berat,6
"ada ada aja, padahal gameplay nya biar baru 😹 update",biar update,7
intinya seru,inti,8
Jan nurunin bintang dulu lah vngke,jan nurunin bintang vngke,12
"game nya seru,baru main langsung dapat selee pity 5 wogwog",langsung selee pity wogwog,16
tolong tingkatkan lagi performa game ini untuk helio p35 agar tidak tiba² screen menjadi hitam saat menjalani quest,tingkat performa hio p screen hitam jalan quest,-1
"Plis gift me luck, i need luck turn-based",gift luck need luck turn based,4
the newest event is too difficult,newest event difficult,4
Mantap free 5 star,free star,8
Seru ceritanya,cerita,15
game ini baik😭👍 gacha,gacha,11
"game ga jelas buang buang waktu buat dowload 7gb eh pas tutorial nya udah ngantuk banget, masih tutorial aja udah ngatuk banget apalagi yang laen nya udah gitu story ampas lagi, masih bagusan story king ml ga jelas banget mihoyo bikin game turnbase ngantuk, kecewa berat🥵🥵",buang buang dowload gb eh tutorial ngantuk tutorial ngatuk laen gitu story ampas bagus story king ml mihoyo turnbase ngantuk kecewa berat,1
Ayo hoyoverse kapan ni game di buat co-op :),ayo co op,-1
seronoknye game ni bansos banyak char cakep cakep storynya seronok,seronoknye bansos char cakep cakep cerita seronok,24
"gamenya bagussss! story, grafik, desain karakter, bagus bagus semua, kalau masalah powercreep sih itu emang resiko game turn base, jadi bisa dimaklumin, selain itu semuanya udah bagus poll!",bagussss story grafik desain karakter powercreep resiko turn base dimaklumin poll,-1
"Sejauh ini bagus, cuma masalah di boss aja kadang lama beresinnya bisa 20mnt-an saya termasuk player f2p juga btw, dan rewards hadiah banyakin juga yaa nih game ga pelit"" bansos juga haha",boss kadang resin mnt player f p btw rewards hadiah banyak yaa nih pelit bansos haha,24
"fokus saja game turn base, jangan ada embel² adventure lah ini lah itu lah bikin konten pada akhirnya sampah juga",fokus turn base embel adventure konten sampah,-1
parah dh dpt b5 tapi gada chara nya,parah b gada chara,12
"Game nya bagus bangetttt, buruann coba banner",bangetttt buruann coba banner,2
"Pls change your name ""HONKAI STAR DESTRUCTION """,change name honkai star destruction,3
Uwaaaaa grafiknya bagussss seggsss lag,uwaaaaa grafik bagussss seggsss lag,2
"nikmat banget coyyy, ga kikir, jempol seratus 👍🏻✨",nikmat coyyy kikir jempol ratus,-1
bewan tigril sini,bewan tigril,23
"Gamenya bagus banget. Grafik bagus, alur cerita bagus. Suka juga dengan karakternyaaa update",grafik alur cerita suka karakternyaaa update,-1
Hati hati ya adik adik yg potato (seprti sy),hati hati adik adik potato seprti,-1
game wayang,wayang,15
Game baik update,update,7
"1. Yang penting nambah fitur, daripada kek honkshit star fail. Jarang update qol. Genshin setiap patch nambah terus🤣🤣🤣🤣. 2. Apaan, honkshit star fail banyak bug, udah gitu update Ghoib mulu lagi🤣🤣🤣. 3. Si paling sad story nya. Padahal b aja. Player nya cengeng dan lebay semua 4. Gambar doang ditangisin🤣🤣🤣🤣 lebay amat lu cil. 5. Game itu dimainkan, bukan ditonton 🤣🤣🤣🤣🤣. Apalah player honkshit star fail 🤣🤣🤣🤣 6. Scene epik yang banyak? Where? When? Perasaan bac0t doang pity",nambah fitur honkshit star fail jarang update qol genshin patch nambah honkshit star fail bug gitu update ghoib mulu sad story b player cengeng lebay gambar doang ditangisin lebay cil main tonton apa player honkshit star fail scene epik asa bac doang pity,1
HAPUS PASIF GLOBAL MASSIVE NYA CASTO!!!! gacha,hapus pasif global massive casto gacha,3
Game nya gaje padahal HP ku bs nampung gnshin inpack kok gm ini kaga😟lagian pas login nya itu aku ga bisa masuk ke game nya 😑jd ini game kurang cocok buat HP ram5,gaje hp ku bs nampung gnshin inpack gm login masuk cocok hp ram,0
"GI,HI,HSr optimalisasi masih tolollll",gi hi hsr optimalisasi tolollll,16
Panjang umur game baik😁 update,umur update,27
"game nya samgat seru, banyak character character keren keren kayak castorice",samgat character character castorice,4
Game RPG terseru btw udah pada dapat danheng il?,rpg seru btw danheng il,16
"Game santuy, grafik bagus, wareg bansos, best lah 😋",santuy grafik wareg bansos,-1
Why you kill firefly give back firefly,kill firefly give back firefly,4
"The Herta mantap, menang pity 10🤣",herta menang pity,16
Hoyo plis ada fitur ganti karakter MC,hoyo fitur ganti karakter mc,-1
Seele wangi,seele wangi,10
tombol skip bro,tombol skip bro,-1
"BAGUS,karna ada kafka dan caelus",karna kafka caelus,-1
Game ampas.. Gacha ampas..,ampas gacha ampas,11
5 Bintang,bintang,8
bansos gak ngotak🗣️🗣️🗣️🔥🔥🔥💯💯💯‼️‼️‼️,bansos pikir,-1
"game nya bagus, kalau ditanya apa yg kurang mungkin power creep nya terlalu cepat, ga ada fitur nikah, ga ada fitur bisa nyium waifu, ga ada fitur bisa peluk waifu. Tapi overall game nya bagus",power creep cepat fitur nikah fitur nyium waifu fitur peluk waifu overall,-1
Hoyoverse memang tidak gagal buat game tinggii turn-based,gagal tinggi turn based,18
terus kembangin lagi sudah bagus,kembangin,8
"itu yg pada ngasih bintang satu itu ngapain sih? gamampu gacha castorice/ga punya tim nya? atau cuman fomo kasih bintang satu. lu kalo gabisa gacha jangan kasih rate 1, malah global pasife bagus di castorice, buat moc. dll",bintang gamampu gacha castorice tim cuman fomo bintang gabisa gacha rate global pasife castorice moc dll,3
Best update,update,7
"min kasih ane rate on, trims",ane rate trims,2
"Kasih b 3 aja, gacha relic ampas semua suuuu!!!",b gacha relic ampas suuuu,3
"yang ngasih bintang 1, kalian kenapa dh? padahal dri segi cerita udah bagus loh",bintang dri segi cerita loh,-1
Iyh :3,iyh,2
The Aventurine boss is very difficult to beat,aventurine boss difficult beat,4
Bagus banyak bansos😁😁😁,bansos,-1
"Game bagus,baik, tidak pelit the best pokoknya, tapi kalo event itu harusnya ketika waktu event itu berakhir harusnya langsung update, jangan update nya besok, saya menyarankan update nya itu langsung jangan nunggu besok itu aja update",pelit pokok event event langsung update update besok saran update langsung tunggu besok update,-1
karena pasif cas bener bener banyak banget yang ngasih bintang 1 semoga bisa naik lagi dan berubah pasif nya agar orang orang yang memberi bintang 1 bisa memikirkan nya kembali.,pasif cas bener bener bintang moga ubah pasif orang orang bintang pikir,-1
Hoyoverse kasih aku seele dong🙏🙏,seele,-1
oke aku cinta game ini:3,cinta,-1
Perbaiki game mu budjang,baik mu budjang,-1
Terimah kasih lho udah ngasih karakter gratis walaupun belum dapet apa lagi grafik nya minta ampun kayak main di PC update,terimah lho karakter gratis grafik ampun pc update,-1
Aku suka Yunli,suka yunli,13
"good, ditingkatkan lagi ya buat developer berhubung banyak issue tentang global pasif, harap jangan cuma player yang ada karakter castorice aja yang dapat global pasif semua player juga dapat mungkin dengan catatan memiliki 2 karakter atau lebih karakter dari amphoreus, dan untuk sistem pity nya harap di perbaiki lagi ya saya ga tau apa cuma saya yang tidak beruntung tapi saya 2 kali rate off, ini maksudnya gimana ya 😅 tolong ya di perbaiki, itu saja dari saya saya harap dapat di perbaiki ya",tingkat developer hubung issue global pasif harap player karakter castorice global pasif player catat milik karakter karakter amphoreus sistem pity harap baik tau untung kali rate maksud gimana baik harap baik,1
Sejauh ini lancar,lancar,6
Di gensin tidak begitu gacha,gensin gacha,11
Bikin Event Simulated terbaru tapi difficult 2 aja sudah tidak ramah F2p cuih bikin event ampas P2W reward banyak tapi susah diambil buat apaan?,event simulated baru difficult ramah f p cuih event ampas p reward susah ambil,-1
Kadang2 force close,kadang force close,8
Semoga game ini bagus seperti genshin impact 👍 banner,moga genshin impact banner,25
Ekspektasi tinggi!!!,ekspektasi,-1
the powercreep💔💔,powercreep,20
Tombol skipnya manaa,tombol skip manaa,-1
"mangat dev, sebagai player yang menikmati game ini sangat menyenangkan dan menenangkan walau waktu puzzle sih.. hehe. tapi lebih baik dari pada org² yang FOMO ama game dan asal kasih b1 klo gacha kasih aja terus Baiheng dev biar tau rasa",mangat dev player nikmat senang tenang puzzle hehe org fomo ama b gacha baiheng dev biar tau,26
the game is entertaining and fun very good to play turn-based,entertaining fun turn based,4
Wow keren,wow,10
Keren banner,banner,19
Damn the game was so good,damn,10
Masalah powercreep dari karakter baru sangat mengganggu menurutku.,powercreep karakter ganggu turut,20
Keren bang,bang,8
