content,sentiment,lang,word_count
"Too much grinding required, stamina system sucks.",negative,en,7
"Turn-based combat is smooth, character kit is fun to play. banner-rate",positive,en,11
"Update terbaru banyak bug dan crash, sangat mengecewakan.",negative,id,8
"Good balance overall, not pay-to-win, enjoyed the event. 5-star :)",positive,en,10
"Gacha is RNG hell, spent a lot but no pity. Really frustrated.",negative,en,12
"Gacha masih RNG, pity rate low. But storynya bagus sekali. :)",neutral,mixed,11
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya.",positive,id,11
"CERITA DAN VOICE ACTING LUAR BIASA, SOUNDTRACKNYA TOP.",positive,id,8
"Update terbaru banyak bug dan crash, sangat mengecewakan. Great soundtrack and cutscenes",negative,mixed,12
"GAMEPLAY TURN-BASED SERU, BUT GRINDING IS BRUTAL.",neutral,mixed,7
"Cerita dan voice acting luar biasa, soundtracknya top. Great soundtrack and cutscenes :)",positive,mixed,13
"Gameplay turn-based seru, but grinding is brutal. pull",neutral,mixed,8
"Karakter baru OP, desainnya memukau. Banner worth to pull. Good balance overall, not pay-to-win, enjoyed the event pity buff",positive,mixed,19
"MICROTRANSACTION TERLALU AGRESIF, BERASA PAY-TO-WIN. GOOD BALANCE OVERALL, NOT PAY-TO-WIN, ENJOYED THE EVENT :)",negative,mixed,14
"banner-rate Great visuals tapi banyak bug setelah update, please fix. meta :)",neutral,mixed,12
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"Update terbaru banyak bug dan crash, sangat mengecewakan. Good balance overall, not pay-to-win, enjoyed the event :)",negative,mixed,17
"gacha Good balance overall, not pay-to-win, enjoyed the event. :)",positive,en,10
"sustain Great soundtrack and cutscenes. Visuals are stunning. Karakter baru OP, desainnya memukau",positive,mixed,13
"Server sering lag, loading lama. Grinding terlalu berat. :)",negative,id,9
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"Crashes after the latest patch, needs urgent fix.",negative,en,8
"BUFF GACHA PARAH, PITY GAK JELAS. UDAH TARIK BERKALI-KALI TETAP GAK DAPET 5-STAR. GOOD BALANCE OVERALL, NOT PAY-TO-WIN, ENJOYED THE EVENT BANNER-RATE",negative,mixed,22
Great soundtrack and cutscenes. Visuals are stunning. :),positive,en,8
"turn-based Microtransaction terlalu agresif, berasa pay-to-win. turn-based :)",negative,id,8
"banner Gacha is RNG hell, spent a lot but no pity. Really frustrated.",negative,en,13
"GRAFIKNYA KEREN BANGET, STORYNYA BIKIN BETAH. GACHA AGAK PAYAH TAPI MASIH ENJOY.",positive,id,12
"Too much grinding required, stamina system sucks.",negative,en,7
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya.",positive,id,11
"Karakter baru OP, desainnya memukau. Banner worth to pull. pity nerf",positive,id,11
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. Great soundtrack and cutscenes",negative,mixed,16
"Turn-based combat is smooth, character kit is fun to play. nerf gacha :)",positive,en,13
"grinding buff Server sering lag, loading lama. Grinding terlalu berat. :)",negative,id,11
"Crashes after the latest patch, needs urgent fix.",negative,en,8
"Gacha is RNG hell, spent a lot but no pity. Really frustrated. Karakter baru OP, desainnya memukau",negative,mixed,17
"Server sering lag, loading lama. Grinding terlalu berat.",negative,id,8
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy. Good balance overall, not pay-to-win, enjoyed the event",positive,mixed,20
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy. RNG :)",positive,id,14
"Gameplay turn-based seru, but grinding is brutal.",neutral,mixed,7
"Update terbaru banyak bug dan crash, sangat mengecewakan. nerf :)",negative,id,10
"Server sering lag, loading lama. Grinding terlalu berat. Great soundtrack and cutscenes banner-rate grinding :)",negative,mixed,15
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy.",positive,id,12
"Karakter baru OP, desainnya memukau. Banner worth to pull.",positive,id,9
"Karakter baru OP, desainnya memukau. Banner worth to pull. :)",positive,id,10
"Update terbaru banyak bug dan crash, sangat mengecewakan.",negative,id,8
"RNG turn-based Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,12
"banner-rate Server sering lag, loading lama. Grinding terlalu berat.",negative,id,9
"meta Gacha is RNG hell, spent a lot but no pity. Really frustrated. meta",negative,en,14
"FPS drops on low-end phones, optimization needed. Suka gameplaynya, turn-based yang halus pity gacha",negative,mixed,14
"GAMEPLAY TURN-BASED SERU, BUT GRINDING IS BRUTAL.",neutral,mixed,7
"Karakter baru OP, desainnya memukau. Banner worth to pull. turn-based",positive,id,10
Great soundtrack and cutscenes. Visuals are stunning. :),positive,en,8
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"buff turn-based Server sering lag, loading lama. Grinding terlalu berat.",negative,id,10
Great soundtrack and cutscenes. Visuals are stunning.,positive,en,7
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"Crashes after the latest patch, needs urgent fix. Suka gameplaynya, turn-based yang halus :)",negative,mixed,14
"Update terbaru banyak bug dan crash, sangat mengecewakan. Turn-based combat is smooth, character kit is fun to play 5-star",negative,mixed,19
"sustain Gacha is RNG hell, spent a lot but no pity. Really frustrated. buff",negative,en,14
"Gameplay turn-based seru, but grinding is brutal. :)",neutral,mixed,8
"Great visuals tapi banyak bug setelah update, please fix. :)",neutral,mixed,10
Great soundtrack and cutscenes. Visuals are stunning.,positive,en,7
"grinding Great soundtrack and cutscenes. Visuals are stunning. Grafiknya keren banget, storynya bikin betah RNG",positive,mixed,15
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"Microtransaction terlalu agresif, berasa pay-to-win.",negative,id,5
"Cerita dan voice acting luar biasa, soundtracknya top.",positive,id,8
"Turn-based combat is smooth, character kit is fun to play. Grafiknya keren banget, storynya bikin betah",positive,mixed,16
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"sustain turn-based Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya.",positive,id,13
"Gacha masih RNG, pity rate low. But storynya bagus sekali. sustain pity",neutral,mixed,12
"Server sering lag, loading lama. Grinding terlalu berat. banner pull",negative,id,10
"GACHA PARAH, PITY GAK JELAS. UDAH TARIK BERKALI-KALI TETAP GAK DAPET 5-STAR.",negative,id,12
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. sustain :)",positive,id,13
"Gameplay turn-based seru, but grinding is brutal. banner",neutral,mixed,8
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"nerf Gameplay turn-based seru, but grinding is brutal. pity",neutral,mixed,9
"Love the art and story, no lag on my device. Banner felt fair this time.",positive,en,15
"Update terbaru banyak bug dan crash, sangat mengecewakan. Great soundtrack and cutscenes",negative,mixed,12
"Good balance overall, not pay-to-win, enjoyed the event.",positive,en,8
"Good balance overall, not pay-to-win, enjoyed the event. :)",positive,en,9
"Update terbaru banyak bug dan crash, sangat mengecewakan. :)",negative,id,9
Great soundtrack and cutscenes. Visuals are stunning.,positive,en,7
"gacha Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,11
"Microtransaction terlalu agresif, berasa pay-to-win. Great soundtrack and cutscenes",negative,mixed,9
"nerf Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. 5-star",positive,id,13
"BANNER-RATE CRASHES AFTER THE LATEST PATCH, NEEDS URGENT FIX.",negative,en,9
"SERVER SERING LAG, LOADING LAMA. GRINDING TERLALU BERAT. :)",negative,id,9
"grinding Spent a lot for banner, still no 5-star, sangat kecewa. :)",neutral,mixed,12
"FPS drops on low-end phones, optimization needed.",negative,en,7
"Karakter baru OP, desainnya memukau. Banner worth to pull. turn-based",positive,id,10
"Gameplay turn-based seru, but grinding is brutal.",neutral,mixed,7
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. buff pull",positive,id,13
"sustain Gameplay turn-based seru, but grinding is brutal. turn-based",neutral,mixed,9
"buff Update terbaru banyak bug dan crash, sangat mengecewakan. buff :)",negative,id,11
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. pity banner",positive,id,13
"GAMEPLAY TURN-BASED SERU, BUT GRINDING IS BRUTAL. PULL GACHA",neutral,mixed,9
"Gameplay turn-based seru, but grinding is brutal.",neutral,mixed,7
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. grinding",positive,id,12
"Crashes after the latest patch, needs urgent fix. :)",negative,en,9
"Microtransaction terlalu agresif, berasa pay-to-win.",negative,id,5
Great soundtrack and cutscenes. Visuals are stunning. :),positive,en,8
"Cerita dan voice acting luar biasa, soundtracknya top.",positive,id,8
"Crashes after the latest patch, needs urgent fix.",negative,en,8
"meta Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. RNG",negative,id,14
"Gacha masih RNG, pity rate low. But storynya bagus sekali. gacha",neutral,mixed,11
"Gameplay turn-based seru, but grinding is brutal.",neutral,mixed,7
"Gameplay turn-based seru, but grinding is brutal. pull :)",neutral,mixed,9
Great soundtrack and cutscenes. Visuals are stunning. :),positive,en,8
"FPS drops on low-end phones, optimization needed.",negative,en,7
"Gacha masih RNG, pity rate low. But storynya bagus sekali.",neutral,mixed,10
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. meta nerf",negative,id,14
"Crashes after the latest patch, needs urgent fix. banner :)",negative,en,10
"buff Karakter baru OP, desainnya memukau. Banner worth to pull.",positive,id,10
"Gacha parah, pity gak jelas. Udah tarik berkali-kali tetap gak dapet 5-star. turn-based nerf",negative,id,14
"Update terbaru banyak bug dan crash, sangat mengecewakan. buff",negative,id,9
"Microtransaction terlalu agresif, berasa pay-to-win.",negative,id,5
"Turn-based combat is smooth, character kit is fun to play. 5-star sustain",positive,en,12
"Gameplay turn-based seru, but grinding is brutal. :)",neutral,mixed,8
"RNG Cerita dan voice acting luar biasa, soundtracknya top. 5-star",positive,id,10
"Great visuals tapi banyak bug setelah update, please fix.",neutral,mixed,9
"Gacha masih RNG, pity rate low. But storynya bagus sekali.",neutral,mixed,10
"Microtransaction terlalu agresif, berasa pay-to-win. pity :)",negative,id,7
"Crashes after the latest patch, needs urgent fix. pull 5-star :)",negative,en,11
"Gacha masih RNG, pity rate low. But storynya bagus sekali.",neutral,mixed,10
"turn-based Good balance overall, not pay-to-win, enjoyed the event. sustain :)",positive,en,11
"Crashes after the latest patch, needs urgent fix.",negative,en,8
"Cerita dan voice acting luar biasa, soundtracknya top. Good balance overall, not pay-to-win, enjoyed the event :)",positive,mixed,17
"Turn-based combat is smooth, character kit is fun to play.",positive,en,10
"Gacha masih RNG, pity rate low. But storynya bagus sekali. banner turn-based",neutral,mixed,12
"banner-rate FPS drops on low-end phones, optimization needed.",negative,en,8
"Update terbaru banyak bug dan crash, sangat mengecewakan. :)",negative,id,9
"banner-rate Update terbaru banyak bug dan crash, sangat mengecewakan.",negative,id,9
"Update terbaru banyak bug dan crash, sangat mengecewakan. Good balance overall, not pay-to-win, enjoyed the event",negative,mixed,16
"Microtransaction terlalu agresif, berasa pay-to-win. RNG",negative,id,6
"meta Turn-based combat is smooth, character kit is fun to play. grinding",positive,en,12
"Server sering lag, loading lama. Grinding terlalu berat.",negative,id,8
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya.",positive,id,11
"Gameplay turn-based seru, but grinding is brutal. :)",neutral,mixed,8
Great soundtrack and cutscenes. Visuals are stunning.,positive,en,7
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"banner-rate Server sering lag, loading lama. Grinding terlalu berat. buff",negative,id,10
"Spent a lot for banner, still no 5-star, sangat kecewa. :)",neutral,mixed,11
"Cerita dan voice acting luar biasa, soundtracknya top. banner-rate :)",positive,id,10
"sustain Gameplay turn-based seru, but grinding is brutal.",neutral,mixed,8
"sustain Gacha is RNG hell, spent a lot but no pity. Really frustrated. nerf",negative,en,14
"meta nerf Server sering lag, loading lama. Grinding terlalu berat. :)",negative,id,11
"GACHA MASIH RNG, PITY RATE LOW. BUT STORYNYA BAGUS SEKALI.",neutral,mixed,10
"Spent a lot for banner, still no 5-star, sangat kecewa.",neutral,mixed,10
"banner-rate Great soundtrack and cutscenes. Visuals are stunning. Karakter baru OP, desainnya memukau :)",positive,mixed,14
"FPS drops on low-end phones, optimization needed. :)",negative,en,8
"Cerita dan voice acting luar biasa, soundtracknya top. Great soundtrack and cutscenes",positive,mixed,12
"Cerita dan voice acting luar biasa, soundtracknya top. Love the art and story, no lag on my device nerf",positive,mixed,19
"Turn-based combat is smooth, character kit is fun to play. Grafiknya keren banget, storynya bikin betah :)",positive,mixed,17
"Good balance overall, not pay-to-win, enjoyed the event. :)",positive,en,9
"GAMEPLAY TURN-BASED SERU, BUT GRINDING IS BRUTAL. TURN-BASED :)",neutral,mixed,9
"Too much grinding required, stamina system sucks.",negative,en,7
"Turn-based combat is smooth, character kit is fun to play.",positive,en,10
"Suka gameplaynya, turn-based yang halus. Tidak ada lag di HP saya. nerf gacha",positive,id,13
"CRASHES AFTER THE LATEST PATCH, NEEDS URGENT FIX.",negative,en,8
"Grafiknya keren banget, storynya bikin betah. Gacha agak payah tapi masih enjoy.",positive,id,12
"FPS drops on low-end phones, optimization needed. 5-star pity",negative,en,9
