original_index,content,clean_final
14931,Not bad,bad
16028,Not bad,bad
4825,bad,bad
21511,Not bad lah,bad
24635,Not bad,bad
1441,makasih game baek 🥰,baek
11760,Game BAEK!!,baek
16520,Bagusan game ini,bagus
8388,Terlalu baguslah,bagus
13210,Baguslah 👍👍👍👍,bagus
16201,Baguss,baguss
10980,Baguss sangat bagus,baguss
1611,baguss,baguss
3067,baguss kok,baguss
601,baguss,baguss
13662,Baguss,baguss
22971,Game nya baguss👍,baguss
7319,Baguss,baguss
3068,game baguss,baguss
3501,sangat baguss gamenya,baguss
22317,Baguss,baguss
20133,Baguss,baguss
20573,Game nya baguss banget,baguss
3572,baguss,baguss
5407,baguss,baguss
24654,Baguss,baguss
2616,game baguss,baguss
4602,baguss,baguss
19818,bagus baguss,baguss
12335,baguss,baguss
177,BAGUSS BANGET,baguss
23167,Baguss,baguss
3193,Baguss,baguss
21664,Baguss,baguss
8692,baguss,baguss
2502,game nya baguss,baguss
18155,Baguss,baguss
25129,Baguss,baguss
14948,baguss,baguss
15652,game nya baguss,baguss
14744,Game nya sangat bagusss,bagusss
7929,Bagusss,bagusss
10143,Sangat bagusss,bagusss
11238,Bagusss,bagusss
14352,Bagusss bngt,bagusss
15701,Sangat bagusss,bagusss
5235,bagusss!!!,bagusss
8870,Game nya bagusss,bagusss
12879,Bagusss,bagusss
14059,Game nya bagusss,bagusss
11387,Bagussss,bagussss
7560,Bagussss,bagussss
17239,Bagussss,bagussss
18417,Sangat bagussss,bagussss
25383,Bagussssss,bagussssss
23310,Bagussssss,bagussssss
9296,Bagussssss,bagussssss
14690,Bagussssss,bagussssss
15025,Game terbaik untuk saat ini,baik
3846,Game pembaik,baik
14949,GAME TERBAIK,baik
16235,Memang yang terbaik game hoyoverse,baik
15013,GAME TERBAIK SEPANJANG MASA,baik
12534,Terbaik,baik
15437,game terbaik 2023,baik
17186,Game terbaik,baik
12388,Game pembaik,baik
15854,Terbaik hoyoverse,baik
15815,Game terbaik tahun 2023,baik
14612,Game Baik dan Terbaik,baik
15777,Terbaik👍☝️,baik
12122,Game terbaik,baik
15704,Game terbaik sepanjang masa👍,baik
2509,Terbaik,baik
16788,Terbaik menurut saya,baik
3030,gem terbaik sepanjang masa😛,baik
12741,Game terbaik,baik
18322,Game terbaik saat ini,baik
18398,Terbaik 👍💯,baik
15546,Terbaik,baik
18505,Game terbaik,baik
3790,game terbaik,baik
8719,Terbaik,baik
16092,Terbaik 👍💯,baik
11782,game yg terbaik,baik
15499,game terbaik,baik
3318,game terbaik sepanjang masa👍,baik
8818,terbaik,baik
15477,Ini game emang terbaik,baik
18368,Terbaik,baik
18450,game terbaik menurut gweh,baik
16214,Terbaik sepanjang masa,baik
5377,game terbaik🥰,baik
9145,Game terbaik.,baik
21212,Terbaik,baik
1434,game terbaik,baik
24974,Terbaik sih,baik
5827,Ini game terbaik,baik
20413,Terbaik,baik
1270,GAME TERBAIK!!!!!!!,baik
24651,Terbaik,baik
9213,terbaik!!!,baik
22182,Masih Perlu Diperbaiki !,baik
1900,game terbaik 😋,baik
9246,Game terbaik,baik
24630,Game terbaik😍😍,baik
1954,Terbaik 👍,baik
917,game terbaik untuk saya,baik
6572,Game terbaik sepanjang masa,baik
4908,Game terbaik,baik
10292,Game terbaik,baik
24107,Terbaik,baik
118,Game Terbaik.,baik
19294,Tolong perbaiki bug nya,baik bug
3358,perbaiki bug,baik bug
6099,Game terbaik yang pernah saya mainkan,baik main
1089,game terbaik yang pernah saya mainkan,baik main
14854,"selalu jadi game terbaik, dan baik kepada pemain. 😎👍🏻",baik main
14405,sehat sehat game baikk,baikk
10924,Sehat - sehat game baikk.,baikk
7152,Game baikk,baikk
12057,game baikk🌟🌟🌟🌟🌟,baikk
3581,game baikk👍👍,baikk
14276,Game baikk,baikk
12671,TERIMAKASIH GAME BAIKK,baikk
11423,TERIMAKASIH GAME BAIKK🫶🏼🫶🏼🫶🏼,baikk
14064,game baikk 😋😋,baikk
9690,Game baikk,baikk
9221,Game baikk,baikk
935,game baikk😁🔥,baikk
12375,Sehat Sehat game baikk😁,baikk
15120,GAME BAIKKKK,baikkkk
12745,Game baikkkk,baikkkk
12009,GEM BAIKKKK😍😍😍,baikkkk
4108,GAME BAIKKKK.......,baikkkk
11297,balikin firefly gw pliss😞🙏,balikin firefly
13593,Hoyoverse aku hanya ingin satu keinginan saja balikin firefly ke aku. itu saja,balikin firefly
9068,BAGUS banget bang,bang
21106,game seru dan keren bang,bang
7335,Keren bang,bang
2901,bagus banget game nya bang,bang
11259,Gg bang,bang
24861,Pertama bang😃,bang
2403,semangat trus bang,bang
18794,Bagus bang,bang
11102,Bagus banget bang,bang
18973,keren bg,bang
18793,Keren bg😎👍🏻,bang
19953,keren bang,bang
3373,gamenya bagus bangett,bangett
20401,BAGUS BANGETT!!!!!,bangett
11408,Bagus bangett,bangett
22748,Ini geme bagus bangett!!!!,bangett
20399,Game nya bagus bangett,bangett
20568,Oke bangett,bangett
11342,Game nya seru bangettt!!!!,bangettt
1509,bagus bangettt,bangettt
21602,Bagus bangettt,bangettt
3529,keren bangettt,bangettt
2334,GAMENYA BAGUS BANGETTT😻🫶🏻,bangettt
17408,bagus bangettt,bangettt
8647,Seru bangettttt,bangettttt
14497,bagus bangettttt!!!,bangettttt
17182,KEREN BANGETTTTT,bangettttt
17156,GAME BANGSAT,bangsat
6365,Game bangsat,bangsat
18665,"Game bagus, banyak bansos",bansos
12837,"Sehat2 game baik, terima kasih bansos nya",bansos
14399,Bnyk bansos🥰🥰,bansos
15519,BANYAK BANSOS,bansos
9356,"Game bagus, tolong yg banyak lagi bansos nya",bansos
10356,bansos banyak,bansos
8620,game baik bansos banyak,bansos
3887,Bansos 🤑🤑🤑,bansos
20044,"Bagus, moga bansos makin banyak",bansos
5853,Sering2 ada bansos ya,bansos
15473,Bansos,bansos
24478,Moga banyak bansos,bansos
1906,bansos banyak 👍👍,bansos
13290,Nice bansos (◍•ᴗ•◍),bansos
10487,bansos😹,bansos
14153,Banyak bansos,bansos
4139,gamenya bagus dan banyak bansos😜,bansos
6002,Banyak bansos nya,bansos
1026,"game baik ,banyak bansos",bansos
14164,Bansos,bansos
24054,Moga banyak bansos di game ini :D,bansos
15557,Game baik 2023 dpt bansos trus🗿,bansos
7290,Bansos,bansos
8359,Bansos keren,bansos
14035,banyak bansos,bansos
882,Bagus banyak bansos,bansos
12960,"Game bagus,seru bansos pun banyak 😋",bansos
12938,Terimakasih game baik telah memberikan banyak bansos🥰🥰,bansos
23713,Gua ingin bansos,bansos
23765,Bansos please,bansos
14053,"Game baik, banyak bansos",bansos
3116,sangat bagus bansos banyak,bansos
1664,Mantap bansos banyak,bansos
10199,Bansos banyak,bansos
2042,"game baik, banyak bansos, terimakasih 😁",bansos
10201,Bansos banyak hoyoverse,bansos
587,"game bagus, bansos nya juga bnyk 👍👍👍",bansos
16146,Banyak bansos,bansos
13237,bansos lagi dong,bansos
8220,Banyak bansos,bansos
1209,game baik banyak bansos,bansos
1864,game baik sering kasih bansos,bansos
14428,Bagus di kasih banyak bansos,bansos
13832,Selalu ngasih bansos,bansos
13335,Sehat trs game bansos😄,bansos
14245,Banyak bansos,bansos
10558,Banyak bansos,bansos
20538,Bansos banyak,bansos
17286,bansos banyak. mantap,bansos
18649,Berikan bansos sebanyak mungkin😋😁,bansos
17394,Banyak bansos mantap,bansos
12083,Banyak bansos,bansos
662,bansos nya kurang min😂😂,bansos
14926,bansos😁🙏,bansos
251,gamenya bagus banget. banyak bansos,bansos
11780,"sehat-sehat game baik, banyak bansos 🤍",bansos
13960,"Game baik bansos,🥲",bansos
12160,Game baik banyak bansos,bansos
14776,banyak bansos,bansos
8886,Mana bansos ny ?,bansos
13838,Banyak bansos🤑🤑🤑🤑😋😋,bansos
6439,Game nya bagus bansos nya banyak 😂,bansos
21899,Bansos yg banyak ok,bansos
10514,Game bansos terbanyak,bansos
14168,bansos mantap 👍🏻,bansos
14194,Game sangat bagus banyak bansos,bansos
12580,BEST BANSOS GAME!!!,bansos
3405,game baik bansos terus🥰😍,bansos
18595,Bagus banyak bansos😁😁😁,bansos
16836,banyak bansos,bansos
5942,"bansos sangat mantap, game sangat baik 😁😁💗💗",bansos
15171,Bansos nya banyak :),bansos
13978,Gamenya baik ngasih bansos,bansos
16847,Mantap bansos,bansos
14242,Mantap banyak bansos,bansos
4064,Game baik 😊😊 tambah bansos nya dong,bansos
15291,game nya sangat bagus dan banyak bansos,bansos
12436,"Bansos nya banyak🤩, sehat sehat game baik",bansos
8953,mantap bansos nya,bansos
2307,banyak bansos😋,bansos
3222,bansos banyakin :),bansos banyak
14424,Bansos nya di perbanyak,bansos banyak
5496,"Banyak bansos, gak kayak sebelah",bansos belah
12212,"Game baik banyak bansos🗿,tidak seperti sebelah🗿",bansos belah
15632,Banyak bansos cuy mantap,bansos cuy
10174,Banyak bansos cuy,bansos cuy
13776,Mantap banyak bansos gk kayak si kikir 😂,bansos kikir
3808,"bansos, jgn KIKIR",bansos kikir
2996,keren bansos lancar,bansos lancar
1084,Game baik bansos lancar terus,bansos lancar
15649,bansos lancar,bansos lancar
6975,Bansos lancar 👍,bansos lancar
3049,game nya bagus bgt trs di tambah bansos nya yg melimpah 🤭🤭🤤🤤🤤,bansos limpah
5067,game bagus bansos melimpah,bansos limpah
8124,Bansos rek 😋😋😋,bansos rek
7349,Bansos nya sedikit rek,bansos rek
15198,Game baik bansosnya banyak 😋,bansosnya
14463,"Game bagus, bansosnya selalu ada",bansosnya
15361,Gamenya seru dan bansosnya juga banyak,bansosnya
9903,Terimakasih bansosnya game baik 😎😎,bansosnya
13839,mantap banyak bansosnya😍😍🙌,bansosnya
16396,Bansosnya mantep,bansosnya
1055,bansosnya kurang,bansosnya
11242,Bansosnya banyak juga🗿,bansosnya
13703,Mantap bansosnya,bansosnya
207,"bagus banget+banyak bansosnya ,sehat sehat game baik❤️🔥",bansosnya
9956,gameplay-nya bagus bansosnya banyak,bansosnya
8577,Game ini sangat bagus dan keren apalagi bansosnya,bansosnya
24916,Mantep bansosnya banyak,bansosnya
15333,Terimakasih game baik buat bansosnya,bansosnya
11806,Game baik makasih bansosnya. 🥰🥰,bansosnya
11071,Mantap bansosnya,bansosnya
14202,"Bansosnya banyak, terima kasih game baik",bansosnya
12414,MAKASIH BANSOSNYA!!,bansosnya
15197,banyak²in bansosnya😋😋😋,bansosnya
10248,Bansosnya banyak,bansosnya
1401,tolong bansosnya di perbanyak 😁,bansosnya banyak
9392,pls bansosnya banyakin🫨,bansosnya banyak
12205,banyakin bansos lagi 🗣️🗣️🔥🔥🔥,banyak bansos
3434,keren banyakin bansos,banyak bansos
1500,banyakin lagi bansos nya game baik,banyak bansos
15354,Perbanyak bansos lgi dong :),banyak bansos
1152,"game nya bagus, tolong kalo bisa banyakin lagi bansos nya",banyak bansos
8490,Banyakin bansos,banyak bansos
8013,Perbanyak bansos,banyak bansos
14003,"Sehat sehat game baik,banyakin bansos ya",banyak bansos
15804,Banyakin bansos,banyak bansos
11027,Banyakin bansos nya game baik😘😘😘😘😘,banyak bansos
20736,Perbanyak bansos,banyak bansos
1126,Banyakin bansos min,banyak bansos
1621,perlu diperbanyak bansos lagi 😁,banyak bansos
908,"Game nya seru, banyakin lagi bansos nya🙏",banyak bansos
989,banyakin bansos nya👍,banyak bansos
20784,Banyakin Bansos,banyak bansos
13240,banyakin bansos😋😋,banyak bansos
15210,Banyak banyakin bansos,banyak bansos
3076,banyakin bansos min😋😋,banyak bansos
9864,Banyakin bansos mungkin?,banyak bansos
488,game baik banyakin bansos nya ya hoyo,banyak bansos hoyo
21413,"Good, banyakin bansos aja hoyo",banyak bansos hoyo
19304,banyakin bansosnya,banyak bansosnya
11836,Banyakin bansosnya 🥰😍,banyak bansosnya
4238,mantap perbanyak bansosnya,banyak bansosnya
10845,game kebanyakan bacot,banyak bicara
10977,Kebanyakan bacot,banyak bicara
22485,Perbanyak event 😁,banyak event
10057,Banyakin event nya,banyak event
20254,Perbanyak event,banyak event
18960,Perbanyak event-nya lagi min,banyak event
5190,banyak banyakin powercreep 👍,banyak powercreep
3562,Kebanyakan powercreep,banyak powercreep
5545,Kebanyakan yapping,banyak yapping
3309,kebanyakan yapping,banyak yapping
2105,kebanyakan yapping,banyak yapping
1808,game bauk,bauk
7918,game bauk,bauk
2177,game baik sama seperti game sebelah nya 😇😇,belah
10505,Game baik g kek sebelah 😋,belah
13637,Game ini terlalu baik tidak seperti game sebelah😰😭,belah
8707,Di game sebelah tidak begitu😂,belah
5121,"Gamenya sangat lah baik,lebih baik dari game sebelah🫢✋️😐🤚",belah
15274,"Game baik, ga kek game sebelah.. Si kikir",belah kikir
13688,gim baik gk kek sebelah kikir,belah kikir
5523,"game yang sangat baik, tidak seperti di game sebelah yang sangat kikir 🤫☺️",belah kikir
12454,Seru bener,bener
11919,Gamenya bagus bener,bener
12245,Bagus bener dah,bener
13122,Yang bener aja,bener
19870,Bener bener bagus,bener bener
13577,bener bener bagus,bener bener
21049,Bagus tapi berat,berat
22023,agak berat di hp gw,berat
20391,Game nya berat🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿,berat
24794,Tidak terlalu berat😜😝🤫🤔😶😱,berat
7395,SANGAT BERAT😓😮‍💨,berat
20578,Bagus cuma terlalu berat☹️☹️,berat
11003,Berat :),berat
5722,Terlalu berat,berat
16555,Agak berat gamenya,berat
10709,Bagus banget tapi game nya berat banget juga,berat
6972,Seru tapi terlalu berat,berat
22363,Berat...,berat
10512,Bestlah,bestlah
9108,Bestlah,bestlah
24390,The bestt!!!,bestt
15703,Bestt,bestt
7285,Game baik bet,bet
22215,Bagus bet game ny!,bet
19330,Bagus bet :),bet
19117,Bagus bet,bet
6934,Bagus bet,bet
10142,Bagus bet,bet
23063,Keren bet anjay,bet anjay
8209,keren bet anjay,bet anjay
6123,Masih betah ni game nya,betah
18086,Game nya bagus banget bikin betah main,betah
5845,Better than genshin,better genshin
15398,Better Than Genshin,better genshin
9251,Better than genshin,better genshin
9111,Better than genshin,better genshin
5687,udh bgus sih,bgus
9061,Bgus,bgus
11353,Game nya bgus,bgus
12562,Bgus,bgus
5826,Gem bgus,bgus
12392,Bgus gem nya,bgus
11119,Bgus kok,bgus
11124,bgus,bgus
5728,bgus,bgus
7653,5 bulan baru main tpi bgus bgtt,bgus
15750,Bgus,bgus
14594,Bgus,bgus
8144,Bgus lah,bgus
18965,bgus,bgus
21392,Gamenya bgus bgt,bgus
15483,Game bgus,bgus
2339,bguss,bguss
19044,Game nya bguss,bguss
6512,game bike,bike
6468,Game bike,bike
10962,Bintang 5 lah,bintang
15720,Bintang 4 dulu nanti tambah lagi,bintang
20805,Game nya bagus keren bintang 5,bintang
12252,"katanya keren, bintang 5.",bintang
2683,bintang 1 dlu,bintang
3428,Game baik saya kasih bintang 5,bintang
14144,Game baik bintang 5,bintang
13334,Bintang 5 untuk game baik,bintang
24317,Belum main udah kasih bintang 5 ya aku,bintang
18023,Lu game baik bintang 5,bintang
18653,5 Bintang,bintang
19799,Karena banyak bintang 5 mungkin aja seru,bintang
18521,5 Bintang,bintang
14726,Wah bagus banget bintang 5,bintang
12641,Gem baik bintang 🌟🌟🌟🌟,bintang
13842,Dari Bintang sudah lebih dari cukup,bintang
25017,"Belum main, tapi karena saya baik, saya kasih bintang lima :)",bintang
13919,Bintang 4 dulu,bintang
6022,Kasih bintang 3 dulu kalo bagus aku kasih bintang 5,bintang bintang
2599,tetap bintang 5 game baik kalo bisa bintang 6,bintang bintang
2872,yang bintang 1 fomo,bintang fomo
3320,yang ngasih bintang 1 fomo,bintang fomo
2924,YG KASIH BINTANG SATU FOMO AND SKILL ISSUE,bintang fomo skill issue
1245,yang ngasih bintang 1 FOMO & SKILL ISSUE!!,bintang fomo skill issue
13206,Seru bngt bjir,bjir
11104,Game seru bjir,bjir
10552,"Bjir game nya baik, terimakasih game baik",bjir
13169,Bjir,bjir
21933,Black screen,black screen
11211,Punya gw black screen coy tapi ini karena HP gw sih,black screen
25167,belum main tapi blade >>>>,blade
18043,Kasih Blade dong,blade
18301,Kasih saya blade,blade
6009,Bodoh,bodoh
4883,game pembodohan...,bodoh
583,Game Pembodohan,bodoh
12627,bokep,bokep
24699,Bagus seru dan keren kek bokep,bokep
18044,Game bokep,bokep
11262,Game bokep,bokep
10316,Game bokep,bokep
16269,game bokep,bokep
3707,boring,boring
16646,Game boring!!!!,boring
19354,Boring,boring
4018,sangat boring,boring
15936,Boring game..,boring
8207,boring,boring
4806,bosen,bosan
11829,Keren tidak membosankan,bosan
6307,Membosankan,bosan
18313,Bosan,bosan
16486,Seru dan tidak membosankan👍,bosan
17769,mantap gamenya ga bosenin,bosan
20505,Game membosankan,bosan
20947,Game nya bagus terus gak bosenin,bosan
20779,Untuk sekarang terasa terlalu membosankan.,bosan
20683,Membosankan,bosan
7442,Seru tapi agak bosen,bosan
20679,Sangat membosankan,bosan
13296,Membosankan,bosan
20352,"Game nya cukup bagus,tidak membuat saya bosan,,,,",bosan
23227,Bosan,bosan
3537,bosan,bosan
14676,Membosankan kayak ada yg kurang sih,bosan
14198,Terlalu membosankan,bosan
6612,bosan,bosan
19527,Bosenin,bosan
4247,game bagus walaupun sudah mulai membosankan..,bosan
4445,game bosok,bosok
2838,game bosok,bosok
19519,Game bosok,bosok
23161,Good bro,bro
22138,GG bro,bro
15309,Nice game bro,bro
15339,Game nya seru bro...,bro
20033,Bronya,bronya
13097,Kasih Saya Bronya Tolong,bronya
22765,Aku ingin BRONYAAA,bronyaaa
17756,bronyaaa,bronyaaa
8113,Kok gk bsa login sih ni game,bsa login
16981,TDK bsa login,bsa login
3895,tidak ada buff karakter lama,buff karakter
4367,Tolong berikan buff pada semua karakter lama,buff karakter
19670,Game banyak bug,bug
19456,Masih ada beberapa bug,bug
10168,Bug,bug
23343,Game nya bagus tapi masih ada sedikit bug,bug
19252,game kok banyak bug,bug
2308,banyak bug,bug
7698,Udah gak ada bug bagus,bug
20916,Masih banyak bug nya,bug
8752,Banyak bug nya,bug
21945,masih banyak bug,bug
23445,Masih ada bug di beberapa hal,bug
23010,Belum juga 1 bulan udah ada bug,bug
13138,Banyak bug di game,bug
12835,Sering bug,bug
16126,Banyak bug,bug
16950,bug terus,bug
5769,3.1 banyak bug,bug
17348,Bug,bug
16462,Masih banyak bug,bug
13686,Masih ada beberapa bug.,bug
32,banyak bug,bug
5651,Banyak bug nya jadi gak seru main,bug
17736,Banyak sekali bug,bug
12147,Banyak bug ny 😂😂,bug
14411,Masih ada bug,bug
17676,Bug nya banyak banget ⁸,bug
12129,Masih banyak bug tolong di perbaiki lagi,bug baik
24549,Game masih bug tolong diperbaiki,bug baik
17050,Masih ada bug nya min tolong di perbaiki,bug baik
8153,tidak bisa dibuka,buka
22540,Gak bisa dibuka,buka
8366,Ga bisa dibuka,buka
22956,Burik,burik
10268,Game burik,burik
14729,Game burik,burik
13518,Burik,burik
1074,game burik,burik
21138,Burik,burik
13763,Burik,burik
8378,game burik,burik
1564,game burik,burik
17804,burik,burik
11593,Game burik,burik
18050,Game burik,burik
7704,Burik kayak epep,burik epep
22025,Burik kek epep,burik epep
2543,Buruk,buruk
2745,buruk,buruk
3411,buruk sekali,buruk
12376,Buruk,buruk
11898,game yang buruk 👎🏻👎🏻,buruk
9094,Game busuk,busuk
4815,lama lama busuk,busuk
23123,Game busuk,busuk
1377,gim busuk,busuk
710,game busuk,busuk
5954,gem busuk,busuk
24814,buzzer datang,buzzer
537,meskipun buzzer,buzzer
19048,cakep,cakep
3991,gamenya seru dan ada yg cakep😍😍😍,cakep
24530,mencari uid sepuh,cari uid sepuh
23810,Sedang mencari uid sepuh😋,cari uid sepuh
4600,CASTORICE WE LOVE YOU!!💜❤️‍🔥🫶🏻,castorice
926,i love castorice 🥰🥰😍😍,castorice
1249,castorice the best,castorice
661,dah lah ga di kasi castorice,castorice
677,i love CASTORICE,castorice
2062,castorice the best😘,castorice
3194,GG for Castorice,castorice
4181,Castorice <3,castorice
1855,i love castorice,castorice
390,I love castorice,castorice
2139,cepetan update ny min,cepetan update
3499,cepetan update,cepetan update
20825,Seru ceritanya,cerita
8442,"Mantap, gamenya bagus dan ceritanya bagus",cerita
12965,Gamenya bagus ceritanya bagus,cerita
19320,Cerita nya nggak bisa di skip,cerita skip
8510,"Ceritanya lama,ga bisa Diskip",cerita skip
20488,"Cerita menarik, gameplay bagus",cerita tarik
22366,Bagus dan cerita menarik,cerita tarik
937,"keren, ceritanya sangat menarik.",cerita tarik
12955,"Seru banget, trs ceritanya juga menarik(´∧ω∧｀*)",cerita tarik
11002,Ceritanya menarik,cerita tarik
20874,Game ini sangat bagus dan cerita cukup menarik. Saya suka sekali,cerita tarik suka
6516,Cerita semakin menarik saya suka,cerita tarik suka
4766,i love the character design 🥰,character design
10820,I love the character design,character design
18851,chill,chill
16017,Chill game,chill
15365,Cihuy,cihuy
14415,cihuy,cihuy
10871,cihuy,cihuy
13984,Cihuy,cihuy
4412,cihuyy game baik,cihuyy
12986,Cihuyy,cihuyy
547,game cihuyyy,cihuyyy
13068,mantap CIHUYYY😁😁😁,cihuyyy
9293,Cihuyyy...,cihuyyy
10280,Cihuyyy banget,cihuyyy
14263,Ak cinta gem baik😻🥰,cinta
3268,oke aku cinta game ini:3,cinta
20066,Cinta dengan game ini,cinta
7090,Aku cinta game baik.,cinta
10862,Aku cinta game ini,cinta
11290,Aku mencintai game ini,cinta
5362,AKU CINTA HONKAI STAR RAIL,cinta honkai star rail
15212,aku cinta honkai star rail,cinta honkai star rail
15605,Aku cinta Honkai Star Rail,cinta honkai star rail
10529,Aku Cinta Honkai Star Rail,cinta honkai star rail
3379,Aku cinta HSR <3,cinta hsr
1273,cinta hsr,cinta hsr
1219,"GAME BAIK, AKU CINTA HSR",cinta hsr
15606,Saya cinta hsr,cinta hsr
1558,saya cinta hsr,cinta hsr
4359,AKU CINTA HSR 😍,cinta hsr
7369,aku cinta hsr,cinta hsr
18525,Saya cinta kafka 😇,cinta kafka
17604,Aku cinta Kafka,cinta kafka
16330,"Belum coba,",coba
24879,Kita coba 😎,coba
24963,Saat nya di coba,coba
25050,"Walau belum mencoba, pasti bagus",coba
25113,Di coba dulu,coba
25118,Coba dulu,coba
25316,Dicoba,coba
25266,Coba dulu,coba
25321,Coba dulu,coba
13536,apa coba,coba
25276,Coba dulu gk sih,coba
25289,Coba dulu,coba
6665,di coba,coba
25318,Kita coba dulu,coba
15892,Mau coba dulu,coba
24826,Di coba dulu gk si,coba
