userName,score,at,content
Pengguna Google,2,2025-04-26 11:18:56,"game yang penuh petualangan asik dengan story nya yang kreatif, tpi gw mainin ini game pas gw buka lagi kok download data lagi sih ? Mohon kebijakannya developer, apakah memang game ini masih dalam perbaikan bug ?"
Pengguna Google,5,2025-04-26 10:04:53,waivunya bagus bikin Galuh😎👍
Pengguna Google,3,2025-04-26 09:58:19,"Sangat bagus, game turn base yang tidak membosankan dan memiliki cerita yang sangat menarik. kurang suka di fitur relik yang rng, kalo gak beruntung bisa butuh beberapa bulan hanya untuk 1 karakter."
Pengguna Google,5,2025-04-26 07:49:59,menyala hp ku🔥
Pengguna Google,1,2025-04-26 03:56:53,"benci banget gw sama puzzle nya, lebih di utamakan dari pada gameplay perang nya, makan nih rating satu"
Pengguna Google,5,2025-04-26 03:30:03,I love this game good job
Pengguna Google,1,2025-04-25 23:12:57,"nih dengerin hoyo apa susah sih ngadain fitur skip story? kalian kira semua orang suka dengan story nih game? dan kalian kira semua orang punya waktu luang banyak, buat ngerjain story yang membosankan dan dialog yang panjang lebar? kalau pun ada yang mau ngikutin story ya mereka ga usah pake fitur, yang lebih parahnya lagi sekarang event aja harus dialog panjang lebar dulu bikin males main. kalian secara tidak langsung memaksa untuk ngikutin stroy yang membosankan itu. sial gak bisa tulis lebih"
Pengguna Google,5,2025-04-25 23:01:05,game rpg terbaik saat ini semoga developer sehat selalu panjang umur nya dan sering kasih bansos aminnn
Pengguna Google,4,2025-04-25 22:53:53,farm relic ampas terus
Pengguna Google,1,2025-04-25 22:14:42,WOI LOADING NYA NGE STUCK EEK
Pengguna Google,5,2025-04-25 21:23:05,Game baik
Pengguna Google,5,2025-04-25 19:52:10,game nya bagus story nya juga bagus terus kalo untuk gaca nya lumayan lah tapi mohon jangan ada sistem kalah red of kalo dak bisa dapat bener minimal di kasih B5 yg old jangan di kasih yg setandar
Pengguna Google,5,2025-04-25 19:36:10,bestttt
Pengguna Google,1,2025-04-25 19:21:19,sistem gacha nya tolong di permudah
Pengguna Google,1,2025-04-25 19:08:51,"buat tombol skip dong;), jempol bisa bisa kena syndrom:)"
Pengguna Google,5,2025-04-25 18:03:03,mantapzz game baik hehe
Pengguna Google,5,2025-04-25 17:49:29,"yang masih nyinyir powercreep"" mending lu GK usah main ni gem, sono balik main gem bayi lu, Dev udah ngasih bansos bejibun masih ngeluh sana sini, kalo mau NGELUH JANGAN DI SINI SONO BALIK KE GRUB BIRU SAMPAH MU, bocil-bocil😮‍💨"
Pengguna Google,1,2025-04-25 16:30:58,ngotak dikit lah yatim
Pengguna Google,1,2025-04-25 14:26:50,Akun kena risk pedahal kaga pake cit Gajelas lu hoyotod Pindah game ajalah jir
Pengguna Google,5,2025-04-25 13:54:34,Gabe nya bagus
Pengguna Google,5,2025-04-25 10:14:14,bagus banget wok
Pengguna Google,1,2025-04-25 07:12:18,Powercreep Game
Pengguna Google,2,2025-04-25 06:13:37,terlalu banyak percakapan storynya tidak to the point no fitur skip juga
Pengguna Google,1,2025-04-25 01:21:11,"Bad Anniversary 2nd , Trash Gacha Rate , Percuma banyak Bansos kalo 270+pull cuman dapet Char doang😂"
Pengguna Google,1,2025-04-25 00:18:08,"Gacha gua ampas terus dah, udah lah kalah di hard pity(welt e4, bailu e3, sepele e2) , eh mau dapat kan nya pun harus hard pity juga, asem lah. Sumpah kalau akun gua lama-lama model kek gini terus, mendingan pensi gua dah."
Pengguna Google,5,2025-04-24 22:55:54,"peak animation, cutscene keren, character di cutscene cantik banget, pokoknya keren banget firstime main game ini gua kira bakal ngantuk, ternyata malah ketagihan. storynya keren banget🔥🔥"
Pengguna Google,1,2025-04-24 20:06:29,powercreep
Pengguna Google,1,2025-04-24 19:11:17,game nya bagus cuman kurang fitur bikin anak😭😭
Pengguna Google,5,2025-04-24 18:37:50,mantap
Pengguna Google,5,2025-04-24 16:49:27,Tolong jangan kalah 50/50 teruss plisss!!!
Pengguna Google,5,2025-04-24 16:27:51,plis hoyo tambahanin fitur bikin kencan/nikah ama bikin anak
Pengguna Google,3,2025-04-24 15:52:06,saya suka dengan game nya namun memang gak bisa bagus game nya karena sistem HP inflation nya yang gila kali cuk jadi nya terkesan maksa untuk ikut meta seiring update jadi nya malas 🧢
Pengguna Google,5,2025-04-24 15:01:19,Best Gacha Game!!
Pengguna Google,3,2025-04-24 13:07:28,update nya sangat lama ya
Pengguna Google,5,2025-04-24 11:35:21,thanks game baik
Pengguna Google,3,2025-04-24 10:37:07,"Powercreap gila, banyakin lagi animasi interaksi kayak zzz, tambahin capturing kayak genshin"
Pengguna Google,5,2025-04-24 08:41:29,bagus
Pengguna Google,4,2025-04-24 07:07:18,Masalah game ini menurut ku cuma 1 powercreep
Pengguna Google,5,2025-04-24 02:19:55,"Buat yang main game demi cerita, Honkai: Star Rail tuh juara. Alurnya dibangun rapi, karakter-karakternya punya konflik dan kedalaman yang bikin relate. Tiap bab terasa bermakna, nggak cuma jadi latar buat battle. Kadang bikin mikir, kadang bikin diam. Ini bukan sekadar game, tapi pengalaman cerita yang ngena."
Pengguna Google,3,2025-04-24 00:50:05,"gamenya bagus, story dan grafiknya keren. optimalisasinya juga lumayan. sayangnya game ini susah nyari relic yang bagus. alhasil, beberapa char ada yang kurang ter-build dengan baik. dan gacha ampas banget njirrr"
Pengguna Google,5,2025-04-24 00:49:37,"menurut saya gamenya bagus, gak pelit, ramah pemula, dan gak bosenin. saran buat developer tolong masukin Nikador ke Echo war biar seru, terus sama buff boss Sunday soalnya lemah bangat tuh bos padahal desainnya udah keren. minimal bos Sundaynya kuatin, tingkatin Toughnessnya biar gak gampang kena weakness break, tambahin variasi serangannya sama spd-nya biar pas hari ke 7 (resonansi sama order) saat kena weakness break, gak harus nunggu lama lama buat bossnya bangkit lagi. lebih menantang"
Pengguna Google,5,2025-04-23 23:00:23,"seru, tambah kan fitur hapus cerita tambahan"
Pengguna Google,5,2025-04-23 22:59:32,"game nya sangat bagus dan dari segi desain karakter nya juga keren saya sangat suka dengan desain karakter karakter di game ini lalu untuk event nya juga menarik dan terakhir untuk story nya sangat absolute cinema,mantap 👍"
Pengguna Google,1,2025-04-23 22:34:37,game tolol udah cape push pity 80 menang rate off malah dapat char sampah
Pengguna Google,1,2025-04-23 22:19:26,makasih untuk bansosnya tapi pity 80 sebanyak 2x itu ngak lucu
Pengguna Google,5,2025-04-23 20:39:19,Terimakasih sudah memberikan ku pengalaman terbaik dalam Gacha karakter.
Pengguna Google,5,2025-04-23 20:19:47,￶‍
Pengguna Google,1,2025-04-23 19:01:09,"HP inflation, BLACK SCREEN, The FAVORITISM between two anniversary character 💀 even in his trailer Anaxa can not standing alone, A MILLION DOLLAR COMPANY with greedy behavior"
Pengguna Google,1,2025-04-23 18:05:54,"please developer nyari Relic gampangin lagi lah, gila farming relic susahnya minta ampun, selalu stat yang keluar jelek bener"
Pengguna Google,1,2025-04-23 17:26:46,"Game ini terlalu kikir, bahkan tidak mau merilis karakter bintang 4 lagi."
Pengguna Google,1,2025-04-23 14:54:50,"game bagus cuma cerita nya udh kayak nonton iklan panjang banget mana gak bisa di skip lg, tolong di buat skip dialog nya karena gak semua player senang dengan ceritanya, jangan seakan di paksa untuk melihat ceritanya yang membuat sebagian player berhenti untuk melanjutkan permainan ny."
Pengguna Google,5,2025-04-23 14:44:40,Kasih aku fugue please🙂
Pengguna Google,4,2025-04-23 13:15:30,"Kurang balance game nya dong sehabis banner Castorice, Anaxa wanters jgn mau kalah!"
Pengguna Google,5,2025-04-23 12:31:39,thanks game baik
Pengguna Google,5,2025-04-23 12:13:39,game nya bagus banget
Pengguna Google,5,2025-04-23 11:38:19,game baiq
Pengguna Google,3,2025-04-23 11:35:49,march 7th main yukk🥺
Pengguna Google,3,2025-04-23 11:09:20,"gamenya bagus sih ceritanya seru,pas duel nya juga seru, tapi yang gak aku itu pas lagi asyik main malah ngebug jadi aku harus download ulang lagi 🙃🙃, untuk pembuat game ini tolong di perbaiki ya ngebug nya biar lebih enak mainnya,itu aja sih dariku"
Pengguna Google,1,2025-04-23 09:59:25,ga ada apa apa kena tmr dev aneh
Pengguna Google,1,2025-04-23 08:21:52,"DEVELOPER SLOW RESPON, GK BISA NGATASIN MASALAH, TIBA TIBA GK BISA MAIN ""Terlalu banyak permintaan"" GANTI AKUN AJA KAGA!!! MINTA SOLUSI KE CS, TAPI SLOW RESPON, KEBURU MALAS MAIN"
Pengguna Google,1,2025-04-23 05:16:32,GAME PALING SCAMMMM....JAMGAN DIMAINNIN !!!!!
Pengguna Google,1,2025-04-23 01:52:55,penyakit powercreep gila
Pengguna Google,5,2025-04-23 00:47:06,perfect
Pengguna Google,3,2025-04-22 23:10:08,selalu dapet char standar kalo gue pull di benner char yang gue inginkn
Pengguna Google,5,2025-04-22 23:07:53,game baik
Pengguna Google,3,2025-04-22 22:33:22,"1. ga beda jauh dari Genshin cara dapetin item gacha nya. wajar kakak adek sama-sama kikir. 2. ditambah sama-sama kecil chance buat dapetin karakter b5 nya meski ada sistem pity 3. salah satu cara dapetin Stellar Jade nya juga buka chest di jalanan gitu, ini males banget kayak Genshin, setidaknya Genshin lebih mending karena masih funable buat dieksplor. lah ini HSR cuma dalem stasiun doang apanya yang mau dinikmatin. 4. Desain bagusnya cuma di karakter cewek. (ini bukannya aku gay ya)"
Pengguna Google,5,2025-04-22 22:02:27,"Salah satu game terbaik yang pernah saya mainkan. Mulai dari grafis dan desain karakter yang cukup memukau, story yang seru, menegangkan dan mudah dipahami, serta gameplaynya yang santai membuat saya nyaman menikmati game ini sampai sekarang."
Pengguna Google,1,2025-04-22 21:11:35,"ini kenapa sistem gacha nya hard pity, dah kalah"
Pengguna Google,3,2025-04-22 20:16:21,"Sistem Gacha yang menguras isi dompet, tolong turunkan maksimum pity gacha karakter dari 90 pull menjadi 80 pull. Sering Crash saat dalam pertempuran 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡"
Pengguna Google,4,2025-04-22 19:27:55,"grafik dan alur cerita bagus,tapi sistem gacha nya yang parah"
Pengguna Google,5,2025-04-22 19:17:19,kasih fitur skipnya please (⁠｡⁠•́⁠︿⁠•̀⁠｡⁠)
Pengguna Google,5,2025-04-22 17:51:50,"BAGUSSSS, I LOVE THIS GAME DAMN MUCH -! chara, gameplay, story nya SOOOO GOODDDDD ‼️gaaa salaa berharap ama ni gamee, SEMANGAT TRUS HOYOOO -!! 🩷"
Pengguna Google,5,2025-04-22 17:21:25,bagus
Pengguna Google,1,2025-04-22 12:02:29,kenapa gw hard pity bagst
Pengguna Google,1,2025-04-22 11:52:20,dissapointed for the 50/50 and always got 80 pull for 5star character
Pengguna Google,1,2025-04-22 11:01:52,kenapa gk bisa masuk download data hampir selesai malah eror
Pengguna Google,1,2025-04-22 08:25:11,kurogames tolonglah perbaiki hadiah aniversarynya masa sekelas aniversary dapat segitu doang katanya kemarin ada b5 gratis pembodohan
Pengguna Google,5,2025-04-22 08:05:13,absolute cinema
Pengguna Google,5,2025-04-22 07:22:20,Game Terbaik.
Pengguna Google,2,2025-04-22 07:01:17,"powercreep brutal, seenggaknya ada buff char lama/old, buatin fitur bikin anak"
Pengguna Google,5,2025-04-22 05:01:34,game baik
Pengguna Google,2,2025-04-21 23:58:15,Hard pity!! lose 50:50
Pengguna Google,1,2025-04-21 22:39:33,tolong yapping nya dikurangi
Pengguna Google,5,2025-04-21 22:17:51,"overall oke sih, cuman storynya banyakan yapping"
Pengguna Google,5,2025-04-21 21:44:07,Good Games
Pengguna Google,5,2025-04-21 20:52:10,Kurang2i yappingnya overall udah bagus sih dari semuanya 🤗
Pengguna Google,5,2025-04-21 20:29:12,bagus aja
Pengguna Google,1,2025-04-21 20:20:37,game kikir
Pengguna Google,1,2025-04-21 19:39:05,"hp inflation brutal, powercreep di character baru terlalu brutal, sekarang main ini device saya sampe ngeframe kalo bisa dikasih opsi buat ngilangin teks damagenya soalnya ngeliat begitu banyaknya angka yang muncul bikin device ngeframe sama bikin sakit di mata cuy apalagi kalo main DU atau SU, character DOT baru pliss."
Pengguna Google,5,2025-04-21 19:27:26,game inii sangatt baguss
Pengguna Google,3,2025-04-21 19:18:56,game apa ini cok. gameplay kaya game jaman dulu kalo gameplay gitu cepet ngebosenin
Pengguna Google,4,2025-04-21 18:36:14,"knp sy gak bisa login lewat fb ya? pdahl lewat ggl lancar"" saja tolong dibantu dong mengenai mslh ini :v"
Pengguna Google,1,2025-04-21 18:29:23,kebencianku takkan kalian pahami
Pengguna Google,5,2025-04-21 18:14:42,kasih chat global dev biar rame makasih sukses terus hoyoverse
Pengguna Google,5,2025-04-21 18:09:42,nice game
Pengguna Google,5,2025-04-21 17:57:06,"secara keseluruhan bagus. enak bisa main sambil santai dan ga terlalu serius, dan bansos banyak lek"
Pengguna Google,5,2025-04-21 17:41:09,"gamenya bagus, ya walapun ada inflation Hp tapi bansosnya rek bukan MAIN. lagi pula yang ngeluh inflation Hp kebanyakan skill issues (walaupun gw jg😅) semenjak rilisnya char baru CASTORICE jdi ga skill issues lgi rek. TERIMAKASIH GAME BAIK😁"
Pengguna Google,5,2025-04-21 17:32:14,sistem ga jelas gw kalah rate off pdahal gapernah gacha ga cocok buat aniversary ke 2 ini surprisenya kirain bakal membahagiakan gajelas!
Pengguna Google,5,2025-04-21 17:30:09,"sejauh ini gak ada kendala di 3.2 yang menjadi masalah cuman moc doang yang makin susah, semoga efek buff nya bisa lebih bagus lagi"
Pengguna Google,1,2025-04-21 15:52:30,"minus 1 buat cerita main quest di amphoreus terlalu banyak informasi gk penting untuk cerita. ada yg meninggal aja gw GK simpati sama karakter yang mati, karena terlalu lama...."
Pengguna Google,1,2025-04-21 13:43:32,Optimasi relic scam
Pengguna Google,5,2025-04-21 13:29:21,Just Absolute Cinema
Pengguna Google,1,2025-04-21 13:14:52,cerita game ny bertele2 bgt..nge tap2 smpai bkin ngntuk..
Pengguna Google,5,2025-04-21 12:55:28,game bagus
Pengguna Google,5,2025-04-21 12:42:50,game baikkkkk
Pengguna Google,5,2025-04-21 12:15:41,"mantap gamenya, panjang umur game baik."
Pengguna Google,5,2025-04-21 11:46:04,"Game baik. Bagus, cuman char cowoknya diperbanyak"
Pengguna Google,4,2025-04-21 10:57:35,"gua bingung nih,pas masuk di suruh download 23 GB,itu harus ter download semua?soalnya gak bisa masuk kalo gak di download, kalau harus download semua mendingan gua uninstall aja."
Pengguna Google,1,2025-04-21 09:51:45,ko gua di kasih castorice sih padahal maunya fu xuan 😠
Pengguna Google,5,2025-04-21 09:25:16,"Game yang menyenangkan, bisa bermain bersama dengan teman dan banyak event-event yang menarik dan seru!"
Pengguna Google,5,2025-04-21 08:18:10,mantep dah
Pengguna Google,1,2025-04-21 04:21:05,"kok bisa ya orang orang dapet gacha bagus, wangi, tapi ga merata. baik gacha relic, gacha character ama light cone. sekalinya bau sampe tujuh turunan. ayolah, kecewa banget gua. hoyoverse game yang udah gue mainin dari gungirlz, hi3, dll. tapi dari semua game gada yang bener ke gue ampas semua. belom lagi sistem power creep yang makin neken f2p player antara top up atau pensi Plis lah dengerin, semua game hoyo lain gapapa jelek rate gacha nya asal jangan hsr. bingung jg gua maininnya ini...."
Pengguna Google,1,2025-04-21 02:29:03,tidur dulu klo bangun nanti tak kasih b5
Pengguna Google,5,2025-04-21 01:38:48,overall gamenya bagus masih bisa maen di ram 4 walau full rata kiri sih tapi ini dah bagus cocok lah dimainkan dimana aja
Pengguna Google,1,2025-04-21 00:25:50,Kasi tombol skip woi
Pengguna Google,4,2025-04-21 00:14:40,tolong tambahkan fitur tombol skip dalam game .
Pengguna Google,5,2025-04-20 22:53:10,"10/10 story bagus dibanding game rpg lain walau sistem nya turn base tapi tetep seru, ga kikir kaya sebelah"
Pengguna Google,3,2025-04-20 22:24:08,bug yang sangat parah. HP boss tidak berkurang pada saat fase ke 2
Pengguna Google,4,2025-04-20 22:19:55,"No comment, game gila powercreep"
Pengguna Google,1,2025-04-20 22:12:12,ga ada fitur skip
Pengguna Google,5,2025-04-20 20:38:11,banyakin bansosnya hoyo😁
Pengguna Google,3,2025-04-20 20:15:27,"Farming relic dapet jelek mulu,gak ada tombol skip bangke"
Pengguna Google,3,2025-04-20 20:05:32,"Gamenya bagus, dari segi karakter maupun gameplay, tapi untuk pengisian trailblazer power dipercepat lagi!!"
Pengguna Google,5,2025-04-20 18:59:36,"If I don't get Acheron, I'll give you 1 star🗿🗿🗿"
Pengguna Google,3,2025-04-20 17:53:24,"apa gw yang sial apa emang sistem hoyo gini udah 2 patch gw rate off, hard pity lagi"
Pengguna Google,1,2025-04-20 17:47:11,kikir ga kek developer guardian tales
Pengguna Google,4,2025-04-20 17:42:46,"untuk game yang dermawan tentu saja di imbangi endgame konten yang semakin sulit untuk tetap mendapatkan pemasukan untuk game ini, mudah untuk mengerjakan story, apalagi karakter baru yang semakin overpower, tetapi musuh konten end game juga semakin overpower. dan juga global pasif mulai diterapkan untuk melepas batas kemampuan yang hanya 4 karakter dalam 1 tim."
Pengguna Google,5,2025-04-20 17:32:56,walaupun aku gak bisa main karena Android tapi saat lihat orang main entah kenapa aku sangat suka nih game dan saya harap hoyoverse membuat game ini bisa di mainkan oleh Android saya mohon 🙏🙏🙏🙏🙏
Pengguna Google,1,2025-04-20 17:30:38,"kecewa kiana kaslana gak ada, masa cuma Kevin,welt, himeko,bronya,Raiden mei,silver wolf, dll. ada sedangkan kiana kaslana gak ada lah kocakkkk. seri honkai gak ada kiana kaslana."
Pengguna Google,5,2025-04-20 17:02:18,banyakin event up material biar bisa build semua char lebih cepet
Pengguna Google,2,2025-04-20 16:56:18,tidak ada tombol skip + lompat sangat tidak recommend
Pengguna Google,5,2025-04-20 16:05:37,Norak lu semua yg rating b1(kecuali yg EMG rating dari lama)
Pengguna Google,5,2025-04-20 15:32:47,Give me Castorice okay!
Pengguna Google,5,2025-04-20 14:34:02,"Best game ever, really enjoy the storyline and all kind of things that the games served. About the storywriting the character development, all of the lore, theory and moral message in the game, are prepared so much well. The gameplay not that boring even this is a turn based game genre, especially the little add in the game change some my experience on turn based game. The desain of character looks good and getting better each version. Also the ANIMATION very very fascinating. Love this game ❤."
Pengguna Google,1,2025-04-20 14:27:19,POWER CREEP TERUS
Pengguna Google,5,2025-04-20 14:07:32,"dari segi grafik, story, baguss bgtt. apalagi charanya unik' smua, mana bnyak di gratisin 😃, ini game dermawan sungguh dermawan... thx kepada hoyo (buat digame ini) yg sungguh baik n dermawan, i luv hsr 4ever.... (sbg f2p player...) . . . . sayangnya ini hp kurang penyimpanannya huhh.... bissmillah tahun ini kebeli hp mumpuni dri segi apapun itu 💕"
Pengguna Google,5,2025-04-20 12:54:09,bagus aja banyak hal yang bisa di eksplor dan gacha gak terlalu ampas kek kikir impact
Pengguna Google,5,2025-04-20 12:05:25,BAGUSS BANGET
Pengguna Google,1,2025-04-20 11:29:28,200 gacha... Still 0..... 5 star.. PTW FOR TW!
Pengguna Google,2,2025-04-20 11:00:48,"Terlalu try hard end game nya, pergerakan meta terlalu cepat, jd nya char yg saya dapatkan terasa kurang bermakna story amphoreus cukup bagus, namun saya merasa tidak terlalu relevan dengan story2 sebelumnya, jadinya saya tidak mendapatkan ekspektasi apapun untuk kedepannya relic lvl ratenya entah knp kacau, sangat susah dapat roll yg bagus, jadi susah build char desainnya juga kurang suka, seperti cara char berlari dan desain npc nya i feel empty playing this game, like losing my spark"
Pengguna Google,1,2025-04-20 10:37:00,b5 terus bayar bayar habiskan uang kapan b 4 nya keluar?
Pengguna Google,5,2025-04-20 10:32:21,"MAKASIH HOYO, AKH DAPET CASTO + SIGN"
Pengguna Google,4,2025-04-20 10:12:54,"Story bagus, tapi animasi dialog biasa jelek kalau dibanding wuwa yang setara sama Cut scene"
Pengguna Google,5,2025-04-20 09:42:07,tolong kalau buat kit karakter baru jangan nge power-crept karakter lama dong :(
Pengguna Google,1,2025-04-20 09:40:18,tanya cs di game ini ga guna ga ngasih solusi
Pengguna Google,5,2025-04-20 09:23:21,"game nya bagus dari story, gameplay, sama character udh bagus bgt terus juga karena ada auto jadi lebih gampang untuk yang masih baru-baru main"
Pengguna Google,5,2025-04-20 09:05:05,"bagus dapet *5 gratis ga ke game sebelah yang katanya""Dev listened 😂"" cuman tolong bisa skip dialog. soalnya mau main lagi cuma males yapping nya lama."
Pengguna Google,4,2025-04-20 09:04:03,"sekarang udah best lah, bug ga bisa loginnya juga udah berkurang. cuma masalah ngelagnya aja sih, padahal wifi bagus & kenceng, tapi di in game pasti jadi 999. yg paling malesin tuh pas ngequest tadinya lancar² aja tiba-tiba jadi loading ga jelas dan harus ngulang dari situ mulu, itu pun biasanya ngulang sampe 2x lebih. harapannya besok bisa lebih di optimalin sih"
Pengguna Google,5,2025-04-20 08:54:14,sudah bisa min semenjak update 3.2 sudah tidak ada black screen lagi
Pengguna Google,5,2025-04-20 07:40:50,"Game bagus, semoga game ini bertahan dan berkembang menjadi game yang lebih baik"
Pengguna Google,1,2025-04-20 06:46:15,gacha ampas
Pengguna Google,3,2025-04-20 04:56:56,"ini kok kerasa frame/patah patah ya? padahal sebelumnya gak ada tuh patah patah, sejak update patch castorice kek mulai ada yang aneh, padahal 8 gen 2 loh, tolong optimalin lagi pliss"
