original_index,raw_content
30,"masa kalah rate off ampe 3 kali, katanya guaranteed dapet b5 limited."
31,"game nya enak di mainin , seru , alur nya juga bagus , good job deh"
32,banyak bug
33,"ngak nyangka loh hoyo tumben baik, malah sekarang kuro pelit sih"
34,"game bodoh, moc gak ngontak lagi musuh nya, rate gacha sampah, terusin aja kayak gini semoga bangkrut ni game!"
35,"Perkembangan game ga terstruktur dengan baik. Karakter bintang 5 cuma jadi barang jualan untuk memaksimalkan pendapatan tapi ga dipertimbangkan dengan aspek-aspek lain dalam game. Saya rasa hoyoverse tidak kekurangan staff, juga tidak kekurangan kreatifitas ataupun dana. Ini seharusnya bisa dihindari dengan tim pengembangan yang mempertimbangkan Kesinambungan Karakter dengan Lore/cerita, (termasuk elemen dan kemampuan). Tidak apa jika rilis karakter tertunda beberapa patch, tapi hasil maksimal"
36,fak anying ampas bener udah hampir 90x draw ga dapet dapet karater yang di mau anying fak makin update makin ampas
37,"Aku rate off dapat bailu dan Lc nya terus. Aku benci game ini, Aku berusaha keras berjam jam mengumpulkan 76 pull hanya untuk dapat Lc bailu...Aku sedih sekali"
38,"Kalo ngasih pity ngotak dikit lah, masa f2p dikasih high pity giliran waller malah dikasih low pity. Udah gitu dikasih rate off lagi"
39,aku kalah rate off mulu bang
40,"game yang penuh petualangan asik dengan story nya yang kreatif, tpi gw mainin ini game pas gw buka lagi kok download data lagi sih ? Mohon kebijakannya developer, apakah memang game ini masih dalam perbaikan bug ?"
41,waivunya bagus bikin Galuh😎👍
42,"Sangat bagus, game turn base yang tidak membosankan dan memiliki cerita yang sangat menarik. kurang suka di fitur relik yang rng, kalo gak beruntung bisa butuh beberapa bulan hanya untuk 1 karakter."
43,menyala hp ku🔥
44,"benci banget gw sama puzzle nya, lebih di utamakan dari pada gameplay perang nya, makan nih rating satu"
45,I love this game good job
46,"nih dengerin hoyo apa susah sih ngadain fitur skip story? kalian kira semua orang suka dengan story nih game? dan kalian kira semua orang punya waktu luang banyak, buat ngerjain story yang membosankan dan dialog yang panjang lebar? kalau pun ada yang mau ngikutin story ya mereka ga usah pake fitur, yang lebih parahnya lagi sekarang event aja harus dialog panjang lebar dulu bikin males main. kalian secara tidak langsung memaksa untuk ngikutin stroy yang membosankan itu. sial gak bisa tulis lebih"
47,game rpg terbaik saat ini semoga developer sehat selalu panjang umur nya dan sering kasih bansos aminnn
48,farm relic ampas terus
49,WOI LOADING NYA NGE STUCK EEK
50,Game baik
51,game nya bagus story nya juga bagus terus kalo untuk gaca nya lumayan lah tapi mohon jangan ada sistem kalah red of kalo dak bisa dapat bener minimal di kasih B5 yg old jangan di kasih yg setandar
52,bestttt
53,sistem gacha nya tolong di permudah
54,"buat tombol skip dong;), jempol bisa bisa kena syndrom:)"
55,mantapzz game baik hehe
56,"yang masih nyinyir powercreep"" mending lu GK usah main ni gem, sono balik main gem bayi lu, Dev udah ngasih bansos bejibun masih ngeluh sana sini, kalo mau NGELUH JANGAN DI SINI SONO BALIK KE GRUB BIRU SAMPAH MU, bocil-bocil😮‍💨"
57,ngotak dikit lah yatim
58,Akun kena risk pedahal kaga pake cit Gajelas lu hoyotod Pindah game ajalah jir
59,Gabe nya bagus
60,bagus banget wok
61,Powercreep Game
62,terlalu banyak percakapan storynya tidak to the point no fitur skip juga
63,"Bad Anniversary 2nd , Trash Gacha Rate , Percuma banyak Bansos kalo 270+pull cuman dapet Char doang😂"
64,"Gacha gua ampas terus dah, udah lah kalah di hard pity(welt e4, bailu e3, sepele e2) , eh mau dapat kan nya pun harus hard pity juga, asem lah. Sumpah kalau akun gua lama-lama model kek gini terus, mendingan pensi gua dah."
65,"peak animation, cutscene keren, character di cutscene cantik banget, pokoknya keren banget firstime main game ini gua kira bakal ngantuk, ternyata malah ketagihan. storynya keren banget🔥🔥"
66,powercreep
67,game nya bagus cuman kurang fitur bikin anak😭😭
68,mantap
69,Tolong jangan kalah 50/50 teruss plisss!!!
70,plis hoyo tambahanin fitur bikin kencan/nikah ama bikin anak
71,saya suka dengan game nya namun memang gak bisa bagus game nya karena sistem HP inflation nya yang gila kali cuk jadi nya terkesan maksa untuk ikut meta seiring update jadi nya malas 🧢
72,Best Gacha Game!!
73,update nya sangat lama ya
74,thanks game baik
75,"Powercreap gila, banyakin lagi animasi interaksi kayak zzz, tambahin capturing kayak genshin"
76,bagus
77,Masalah game ini menurut ku cuma 1 powercreep
78,"Buat yang main game demi cerita, Honkai: Star Rail tuh juara. Alurnya dibangun rapi, karakter-karakternya punya konflik dan kedalaman yang bikin relate. Tiap bab terasa bermakna, nggak cuma jadi latar buat battle. Kadang bikin mikir, kadang bikin diam. Ini bukan sekadar game, tapi pengalaman cerita yang ngena."
79,"gamenya bagus, story dan grafiknya keren. optimalisasinya juga lumayan. sayangnya game ini susah nyari relic yang bagus. alhasil, beberapa char ada yang kurang ter-build dengan baik. dan gacha ampas banget njirrr"
80,"menurut saya gamenya bagus, gak pelit, ramah pemula, dan gak bosenin. saran buat developer tolong masukin Nikador ke Echo war biar seru, terus sama buff boss Sunday soalnya lemah bangat tuh bos padahal desainnya udah keren. minimal bos Sundaynya kuatin, tingkatin Toughnessnya biar gak gampang kena weakness break, tambahin variasi serangannya sama spd-nya biar pas hari ke 7 (resonansi sama order) saat kena weakness break, gak harus nunggu lama lama buat bossnya bangkit lagi. lebih menantang"
81,"seru, tambah kan fitur hapus cerita tambahan"
82,"game nya sangat bagus dan dari segi desain karakter nya juga keren saya sangat suka dengan desain karakter karakter di game ini lalu untuk event nya juga menarik dan terakhir untuk story nya sangat absolute cinema,mantap 👍"
83,game tolol udah cape push pity 80 menang rate off malah dapat char sampah
84,makasih untuk bansosnya tapi pity 80 sebanyak 2x itu ngak lucu
85,Terimakasih sudah memberikan ku pengalaman terbaik dalam Gacha karakter.
86,￶‍
87,"HP inflation, BLACK SCREEN, The FAVORITISM between two anniversary character 💀 even in his trailer Anaxa can not standing alone, A MILLION DOLLAR COMPANY with greedy behavior"
88,"please developer nyari Relic gampangin lagi lah, gila farming relic susahnya minta ampun, selalu stat yang keluar jelek bener"
89,"Game ini terlalu kikir, bahkan tidak mau merilis karakter bintang 4 lagi."
90,"game bagus cuma cerita nya udh kayak nonton iklan panjang banget mana gak bisa di skip lg, tolong di buat skip dialog nya karena gak semua player senang dengan ceritanya, jangan seakan di paksa untuk melihat ceritanya yang membuat sebagian player berhenti untuk melanjutkan permainan ny."
91,Kasih aku fugue please🙂
92,"Kurang balance game nya dong sehabis banner Castorice, Anaxa wanters jgn mau kalah!"
93,thanks game baik
94,game nya bagus banget
95,game baiq
96,march 7th main yukk🥺
97,"gamenya bagus sih ceritanya seru,pas duel nya juga seru, tapi yang gak aku itu pas lagi asyik main malah ngebug jadi aku harus download ulang lagi 🙃🙃, untuk pembuat game ini tolong di perbaiki ya ngebug nya biar lebih enak mainnya,itu aja sih dariku"
98,ga ada apa apa kena tmr dev aneh
99,"DEVELOPER SLOW RESPON, GK BISA NGATASIN MASALAH, TIBA TIBA GK BISA MAIN ""Terlalu banyak permintaan"" GANTI AKUN AJA KAGA!!! MINTA SOLUSI KE CS, TAPI SLOW RESPON, KEBURU MALAS MAIN"
100,GAME PALING SCAMMMM....JAMGAN DIMAINNIN !!!!!
101,penyakit powercreep gila
102,perfect
103,selalu dapet char standar kalo gue pull di benner char yang gue inginkn
104,game baik
105,"1. ga beda jauh dari Genshin cara dapetin item gacha nya. wajar kakak adek sama-sama kikir. 2. ditambah sama-sama kecil chance buat dapetin karakter b5 nya meski ada sistem pity 3. salah satu cara dapetin Stellar Jade nya juga buka chest di jalanan gitu, ini males banget kayak Genshin, setidaknya Genshin lebih mending karena masih funable buat dieksplor. lah ini HSR cuma dalem stasiun doang apanya yang mau dinikmatin. 4. Desain bagusnya cuma di karakter cewek. (ini bukannya aku gay ya)"
106,"Salah satu game terbaik yang pernah saya mainkan. Mulai dari grafis dan desain karakter yang cukup memukau, story yang seru, menegangkan dan mudah dipahami, serta gameplaynya yang santai membuat saya nyaman menikmati game ini sampai sekarang."
107,"ini kenapa sistem gacha nya hard pity, dah kalah"
108,"Sistem Gacha yang menguras isi dompet, tolong turunkan maksimum pity gacha karakter dari 90 pull menjadi 80 pull. Sering Crash saat dalam pertempuran 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡"
109,"grafik dan alur cerita bagus,tapi sistem gacha nya yang parah"
110,kasih fitur skipnya please (⁠｡⁠•́⁠︿⁠•̀⁠｡⁠)
111,"BAGUSSSS, I LOVE THIS GAME DAMN MUCH -! chara, gameplay, story nya SOOOO GOODDDDD ‼️gaaa salaa berharap ama ni gamee, SEMANGAT TRUS HOYOOO -!! 🩷"
112,bagus
113,kenapa gw hard pity bagst
114,dissapointed for the 50/50 and always got 80 pull for 5star character
115,kenapa gk bisa masuk download data hampir selesai malah eror
116,kurogames tolonglah perbaiki hadiah aniversarynya masa sekelas aniversary dapat segitu doang katanya kemarin ada b5 gratis pembodohan
117,absolute cinema
118,Game Terbaik.
119,"powercreep brutal, seenggaknya ada buff char lama/old, buatin fitur bikin anak"
120,game baik
121,Hard pity!! lose 50:50
122,tolong yapping nya dikurangi
123,"overall oke sih, cuman storynya banyakan yapping"
124,Good Games
125,Kurang2i yappingnya overall udah bagus sih dari semuanya 🤗
126,bagus aja
127,game kikir
128,"hp inflation brutal, powercreep di character baru terlalu brutal, sekarang main ini device saya sampe ngeframe kalo bisa dikasih opsi buat ngilangin teks damagenya soalnya ngeliat begitu banyaknya angka yang muncul bikin device ngeframe sama bikin sakit di mata cuy apalagi kalo main DU atau SU, character DOT baru pliss."
129,game inii sangatt baguss
130,game apa ini cok. gameplay kaya game jaman dulu kalo gameplay gitu cepet ngebosenin
131,"knp sy gak bisa login lewat fb ya? pdahl lewat ggl lancar"" saja tolong dibantu dong mengenai mslh ini :v"
132,kebencianku takkan kalian pahami
133,kasih chat global dev biar rame makasih sukses terus hoyoverse
134,nice game
135,"secara keseluruhan bagus. enak bisa main sambil santai dan ga terlalu serius, dan bansos banyak lek"
136,"gamenya bagus, ya walapun ada inflation Hp tapi bansosnya rek bukan MAIN. lagi pula yang ngeluh inflation Hp kebanyakan skill issues (walaupun gw jg😅) semenjak rilisnya char baru CASTORICE jdi ga skill issues lgi rek. TERIMAKASIH GAME BAIK😁"
137,sistem ga jelas gw kalah rate off pdahal gapernah gacha ga cocok buat aniversary ke 2 ini surprisenya kirain bakal membahagiakan gajelas!
138,"sejauh ini gak ada kendala di 3.2 yang menjadi masalah cuman moc doang yang makin susah, semoga efek buff nya bisa lebih bagus lagi"
139,"minus 1 buat cerita main quest di amphoreus terlalu banyak informasi gk penting untuk cerita. ada yg meninggal aja gw GK simpati sama karakter yang mati, karena terlalu lama...."
140,Optimasi relic scam
141,Just Absolute Cinema
142,cerita game ny bertele2 bgt..nge tap2 smpai bkin ngntuk..
143,game bagus
144,game baikkkkk
145,"mantap gamenya, panjang umur game baik."
146,"Game baik. Bagus, cuman char cowoknya diperbanyak"
147,"gua bingung nih,pas masuk di suruh download 23 GB,itu harus ter download semua?soalnya gak bisa masuk kalo gak di download, kalau harus download semua mendingan gua uninstall aja."
148,ko gua di kasih castorice sih padahal maunya fu xuan 😠
149,"Game yang menyenangkan, bisa bermain bersama dengan teman dan banyak event-event yang menarik dan seru!"
150,mantep dah
151,"kok bisa ya orang orang dapet gacha bagus, wangi, tapi ga merata. baik gacha relic, gacha character ama light cone. sekalinya bau sampe tujuh turunan. ayolah, kecewa banget gua. hoyoverse game yang udah gue mainin dari gungirlz, hi3, dll. tapi dari semua game gada yang bener ke gue ampas semua. belom lagi sistem power creep yang makin neken f2p player antara top up atau pensi Plis lah dengerin, semua game hoyo lain gapapa jelek rate gacha nya asal jangan hsr. bingung jg gua maininnya ini...."
152,tidur dulu klo bangun nanti tak kasih b5
153,overall gamenya bagus masih bisa maen di ram 4 walau full rata kiri sih tapi ini dah bagus cocok lah dimainkan dimana aja
154,Kasi tombol skip woi
155,tolong tambahkan fitur tombol skip dalam game .
156,"10/10 story bagus dibanding game rpg lain walau sistem nya turn base tapi tetep seru, ga kikir kaya sebelah"
157,bug yang sangat parah. HP boss tidak berkurang pada saat fase ke 2
158,"No comment, game gila powercreep"
159,ga ada fitur skip
160,banyakin bansosnya hoyo😁
161,"Farming relic dapet jelek mulu,gak ada tombol skip bangke"
162,"Gamenya bagus, dari segi karakter maupun gameplay, tapi untuk pengisian trailblazer power dipercepat lagi!!"
163,"If I don't get Acheron, I'll give you 1 star🗿🗿🗿"
164,"apa gw yang sial apa emang sistem hoyo gini udah 2 patch gw rate off, hard pity lagi"
165,kikir ga kek developer guardian tales
166,"untuk game yang dermawan tentu saja di imbangi endgame konten yang semakin sulit untuk tetap mendapatkan pemasukan untuk game ini, mudah untuk mengerjakan story, apalagi karakter baru yang semakin overpower, tetapi musuh konten end game juga semakin overpower. dan juga global pasif mulai diterapkan untuk melepas batas kemampuan yang hanya 4 karakter dalam 1 tim."
167,walaupun aku gak bisa main karena Android tapi saat lihat orang main entah kenapa aku sangat suka nih game dan saya harap hoyoverse membuat game ini bisa di mainkan oleh Android saya mohon 🙏🙏🙏🙏🙏
168,"kecewa kiana kaslana gak ada, masa cuma Kevin,welt, himeko,bronya,Raiden mei,silver wolf, dll. ada sedangkan kiana kaslana gak ada lah kocakkkk. seri honkai gak ada kiana kaslana."
169,banyakin event up material biar bisa build semua char lebih cepet
170,tidak ada tombol skip + lompat sangat tidak recommend
171,Norak lu semua yg rating b1(kecuali yg EMG rating dari lama)
172,Give me Castorice okay!
173,"Best game ever, really enjoy the storyline and all kind of things that the games served. About the storywriting the character development, all of the lore, theory and moral message in the game, are prepared so much well. The gameplay not that boring even this is a turn based game genre, especially the little add in the game change some my experience on turn based game. The desain of character looks good and getting better each version. Also the ANIMATION very very fascinating. Love this game ❤."
174,POWER CREEP TERUS
175,"dari segi grafik, story, baguss bgtt. apalagi charanya unik' smua, mana bnyak di gratisin 😃, ini game dermawan sungguh dermawan... thx kepada hoyo (buat digame ini) yg sungguh baik n dermawan, i luv hsr 4ever.... (sbg f2p player...) . . . . sayangnya ini hp kurang penyimpanannya huhh.... bissmillah tahun ini kebeli hp mumpuni dri segi apapun itu 💕"
176,bagus aja banyak hal yang bisa di eksplor dan gacha gak terlalu ampas kek kikir impact
177,BAGUSS BANGET
178,200 gacha... Still 0..... 5 star.. PTW FOR TW!
179,"Terlalu try hard end game nya, pergerakan meta terlalu cepat, jd nya char yg saya dapatkan terasa kurang bermakna story amphoreus cukup bagus, namun saya merasa tidak terlalu relevan dengan story2 sebelumnya, jadinya saya tidak mendapatkan ekspektasi apapun untuk kedepannya relic lvl ratenya entah knp kacau, sangat susah dapat roll yg bagus, jadi susah build char desainnya juga kurang suka, seperti cara char berlari dan desain npc nya i feel empty playing this game, like losing my spark"
180,b5 terus bayar bayar habiskan uang kapan b 4 nya keluar?
181,"MAKASIH HOYO, AKH DAPET CASTO + SIGN"
182,"Story bagus, tapi animasi dialog biasa jelek kalau dibanding wuwa yang setara sama Cut scene"
183,tolong kalau buat kit karakter baru jangan nge power-crept karakter lama dong :(
184,tanya cs di game ini ga guna ga ngasih solusi
185,"game nya bagus dari story, gameplay, sama character udh bagus bgt terus juga karena ada auto jadi lebih gampang untuk yang masih baru-baru main"
186,"bagus dapet *5 gratis ga ke game sebelah yang katanya""Dev listened 😂"" cuman tolong bisa skip dialog. soalnya mau main lagi cuma males yapping nya lama."
187,"sekarang udah best lah, bug ga bisa loginnya juga udah berkurang. cuma masalah ngelagnya aja sih, padahal wifi bagus & kenceng, tapi di in game pasti jadi 999. yg paling malesin tuh pas ngequest tadinya lancar² aja tiba-tiba jadi loading ga jelas dan harus ngulang dari situ mulu, itu pun biasanya ngulang sampe 2x lebih. harapannya besok bisa lebih di optimalin sih"
188,sudah bisa min semenjak update 3.2 sudah tidak ada black screen lagi
189,"Game bagus, semoga game ini bertahan dan berkembang menjadi game yang lebih baik"
190,gacha ampas
191,"ini kok kerasa frame/patah patah ya? padahal sebelumnya gak ada tuh patah patah, sejak update patch castorice kek mulai ada yang aneh, padahal 8 gen 2 loh, tolong optimalin lagi pliss"
192,Gak bisa login hoyoverse setan
193,game yg baik dengan alur cerita yg sangat bagus dan menarik. tapi tolong kurangi powercreep dan perbanyak karakter bintang 4 ya!.
194,"gacha busuk, pity terooos"
195,"Game baik banyak hadiah yang diberikan kepada player, tapi saya berharap untuk kedepan nya di adakan duel dengan pemain lain supaya ada kompetitif nya game nya saya rasa seru kalo di adakan, dan buff karakter lawas juga udah mulai ga bisa kepake karakter lama nya"
196,saya suka sunday🗿
197,nooo buat kalian jangan kasih rating ni game jadi kecil dong nanti gw gabisa liat waifu gw lagi woilah perkara 1 ch doang
198,Fu Xuan bini saya
199,"game nya seruh, dan menantang jadi tidak bikin cepeet bosan karena musuh-musuh yang sangat menantang"
200,"OMG YASSSS I GOT CASTORICE MY LOVE MY SAVIOUR!! I ALREADY BUILD HER AND OMGG HER ULT SO COOLL!! I LOVE HER DRAGON, POLLUX!! B-But pls remove power creep i beg you hoyo.. and in the next update.. please take Sunday out of his cage bcs I don't have him yet.."
201,game ini pas saya main karakter saya mati karena level karakter nya lupa di naikin
202,bagus banget banh kewren efeknya
203,gamenya bagus tapi minusnya kalau pakai wi-fi update-update nya itu lama banget😮‍💨😮‍💨😤😤😮‍💨😮‍💨
204,tambahin fitur bikin anak pliss🥰
205,"Happy anniversary! Oh ya, yg rating b1 ada beberapa yang gk main, jadi kaya cuman FOMO kasi b1 doang gara-gara konten di sosmed.tp agak sedih juga si masa semua karakter amphoreus mokad semua"
206,GW MALAH DAPET BLADE ANYINK
207,"bagus banget+banyak bansosnya ,sehat sehat game baik❤️🔥"
208,"nice game, build lumayan gampang, bansos lancar, gacha alhamdulillah win banner. cuman cutscene di hp gw ngeleg🗿"
209,"game ny seru, alur story ny menyentuh, design char ny bagus, dan yg paling penting BANYAK BANSOS😘"
210,Jarang low pity
211,"Buat tombol skip dialog lah, dialognya panjangnya gila banget..."
212,aku kasih bintang 4 karena castorice ku belum pulang selama puluhan kali gacha💔💔. hoyo tolong kasih ak castorice
213,Are you kidding me? No more new 4 stars characters? Edit: Kegoda bansos dikit aja langsung naik ratingnya
214,"nggak ramah f2p, power creep ganas"
215,selamat ulang tahun HSR 🗣️🔥 2 years anniversary
216,game nya bagus dan game play nya seru dan santai dan banyak sekali teka-teki yg sulit sesuai alur cerita nya
217,"char b4 makin dikit,malah kagak ada yg baru di patch sekarang,enemy nya dibuat kekebalan tubuh HP nya badag bet coeg,buat kelarin 1 boss butuh hampir setengah jam karena DPS dah jadoel wowkkwkw,buat lowspender kek saya mah mending buat koleksi Waifu doang dah,ngikutin char yg lagi naik daun mah tar juga keganti lagi sama char baru yg bakal dateng,story nya kebanyakan yapping pula, bangke²"
218,Wuthering wave the best game ever
219,Mabar epep/emel yok bang🗿
220,gamenya berat sama loading screen nya lambuaaaat tolong di ringanin saya tidak bisa main kalo kaya gini 😭
221,menghabiskan storage 😔 tapi bagus sih grapik nya👍
222,keep fighting 🔥🔥
223,banyak keseruannya di game ini
224,game PAY TO WIN 🤣
225,kikir impact
226,"bagus, powercreepnya dikurangin aja"
227,game baik
228,"semenjak update 3.2 jadi force close terus dah, buka bentar langsung keluar jadi ga bisa main. kirain hp gw taunya main zzz lama aman2 aj. tolong perbaiki donk."
229,Tidak ramah untuk hp mid seperti saya💀
230,"game nya bagus, kalau ditanya apa yg kurang mungkin power creep nya terlalu cepat, ga ada fitur nikah, ga ada fitur bisa nyium waifu, ga ada fitur bisa peluk waifu. Tapi overall game nya bagus"
231,"mantep gw dapet castorice modal 10 pity sehat"" developer nya"
232,"Bagus alur cerita di amphoreus semoga panjang alur ceritanya dan seru kaya di blobog durasi panjang dan juga seru, kalo di xianzhou dan penacony okelah ga lama² amat tapi tetap wort"
233,Eventnya sedikit sekali
234,power creep makin gila
235,sangat suka karakternya tapi musuhnya terlalu sulit mohon dipermudah untuk pemula seperti saya
236,"tolong laa, hoyo di perbaiki lgii, naga casto bikin hape gw panass 🗿🗿"
237,"kikir event, kikir 4*, kikir f2p option,penyakit power creep gila, tiap patch wajib ghaca, gk ghaca gk bisa clear reward end game, story oke tapi isinya cuma dialog berjam-jam. teknik mareking sih teknik marketing, tapi jangan lupa ini game f2p, kalo gini terus bisa hilang peminatnya"
238,kerenn
239,Setiap ada cutscene kok jadi patah-patah ya?
240,selamat anniversary ke 2!!!
241,moc terlalu susah buat f2p
242,"KURANG AJAR, DIKASIH HARD PITY TERUS!!!"
243,"-4, Butuh Tombol Skip"
244,"bagus banget banyak jg skin nya dan menarik,jadi ga bosen deh"
245,"I will stop playing this game, I have played this game since the beginning of the game being launched, I really like this game, but this game has changed, it is very sad to think about it"
246,Honkai: Star Rail 😐
247,"Game udah bagus, tapi aku punya saran. Sebagai player lama, HOYOVERSE-Harap jangan sering rilis karakter karakter baru yg bikin karakter lama jadi kena POWERCREEP. Kalo udh cape farming berminggu minggu buat build karakter, malah rilis karakter baru yg basenya lebih OP daripada karakter sebelumnya, sia2 dong? terus-HP musuh kena buff besar besaran, yang balik lagi ke point utama-membuat karakter lama jadi kena powercreep."
248,"saya hanya memiliki satu akun di device saya, dan saya telah menyelesaikan seluruh story utama di game, karna memori device saya yang semakin menipis maka saya menghapus data quest yang sudah lalu (fitur game) namun barusan ketika saya login, saya di suruh men-download ulang data kurang lebih 8gb yang telah terhapus seolah-olah saya mengganti akun ke akun yang belum menyelesaikan story. padahal selama ini tidak pernah terjadi seperti ini."
249,keren
250,udah pensi sih tapi gapapa lah ikutan bintang 1
251,gamenya bagus banget. banyak bansos
252,"Game nya bagus kok masih bisa di mainin, oiya gua omongin bagi para player ya kalok emang story dari game nya ini jelek/ngebosenin ya gak ush main game ini. Game nya ini cuman untuk para player yg ingin rasanya main game RPG, bukan cuman ingin main battle di dalam game nya doang. Gua omongin sekali lg buat player yg minta skip button, gak ush main game ini, main togel aja sana biar singkat idup lo lo semuanya."
253,"RATE GACHA AMPAS, UDAH 3 PATCH DI 78 SEMUA DAHLAH MALAS MENDING MAIN PB"
254,"hello dev, did u know what is GLOBAL PASSIVE ?"
255,nice
256,"Game nya bagus. Detail karakter nya juga oke. Cuma semakin update, pity gacha char dan lc nya semakin hard, saya new player, gaca tribbie saja kena hard pity di 80 sekarang gaca castorice kena hard pity di 110. Apala ini game, gaca nya hard banget, kasian player new, hoyo hoyo. Belum lagi sekarang boss nya kena hp inflation, sekali tebas tim ku langsung mati, dah gitu char nya kaya ngga ada damage samsek ke boss, hoyo hoyo."
257,makasih hoyo. plin plan pity gacha nya
258,yang bilang jelek lu harus coba sieh jgn modal fomo😹😹
259,"kechee, aku Sukak ni game yang kasih bintang 1 tu fomoo"
260,my wife is in this game so i give 5 star
261,game kikir 🤡
262,"game nya bagus, game play nya enak, menikmati. sampai teman saya ketiduran pass farming saya juga tidur, karna santai nya mantap"
263,"Game yang bagus (dari segi desain karakter, latar tempat, story dan event) sudah bermain 1 tahun diawal bermain serasa mudah walau pernah uninstal karena pemahaman game saya buruk. akhirnya setelah 1 bulan gk main buat rindu download lagiXD btw saya awal download karena desain logo game marcht 7th 😁 bro hoyo kapan marcht 7th kembali sadar guw kangen yapping dia (╥﹏╥)"
264,😡🍠
265,PEAK GAMEEE😈💦
266,Nice Global Passive hoyo!
267,Sehat-sehat game baik 😁
268,"capek main nih game, setiap gacha pasti harus 'rateon' dulu baru bisa dapat karakter yang aku mau, udah disiksa 'rateon' eh malah ketambahan 'hardpity', capek banget"
269,"game mobile terbaik menurut gw, lebih suka HSR daripada Genshin Impact, karena lebih dermawan dan ga pelit bagi stellar jade, desain char sangat bagus, dan gamenya bukan cuma bertarung doang, tapi ada back story, gacha, dan bisa farming relic sama stellar jade euy 😋 (Plis gw mau bgt Sunday sama kafka sama Clara sama mydei sama AH POKOKNYA GUWA MAU SEMUANYA) edit: baru juga dibilang mau Clara sama mydei, langsung dapat + bonus Castorice 😨"
